id,composite_code,component_code,component_name,qty
8fb4310e-af33-1b37-5de0-d641edde450c,LG40388,LG40332,حوض وجه برسلين 65 سم,1.000
e111cf32-5192-b4c5-c362-a1e07b33f78f,AM0849,AM0843,حوض وجه مع دولاب حمام -60 سم,1.000
366c65a8-7b30-594a-eff1-906c0b663e9a,AM0778,AB10745,خزانة حمام أبيض,1.000
602f839f-196e-e693-af0e-293e65f04a44,EG40982,EG40750,رف كواريون كوارتز 80سم أبيض,1.000
9226af4b-aafa-45de-f052-7f911f438204,AM0357,AM40356,مراية دولاب حمام -80 سم,1.000
9839ad9f-2885-b838-550f-fe18fe9fb3cc,AM0846,ML30836,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1.000
6cd7ac09-39b8-5b72-a432-0f3784bf575e,LG40196,EG40173,رف حوض وجه برسلين 80 سم,1.000
90f2c888-eeed-2503-f8f2-8ba52173b56f,LG40389,EG40358,رف حوض وجه برسلين 65 سم,1.000
9be5dfbc-9dca-0d19-eb00-d422dc38a417,EG40103,EG40360,رف حوض وجه برسلين 65 سم,1.000
70a3c161-1c80-5663-0355-ceadf3dcada7,AM0958,AM0959,دولاب حمام -70 سم,1.000
a25d564a-1d27-6c5f-3fc5-c240f50339a1,LG40980,EG40982,رف كواريون كوارتز 100سم أبيض,1.000
b4ed6cf8-333e-b312-9141-7840d4f6eaf2,AM0352,AM0348,دولاب حمام 80 سم أبيض,1.000
e1ad351b-563d-b8c8-dce1-76141cfe46c4,AM40361,AM40340,مراية دولاب حمام -80 سم,1.000
14342b8c-aec5-120f-48d1-b171588f298a,EG40862,EG40750,رف كواريون كوارتز 80سم أبيض,1.000
7f6c2453-e675-34c9-1993-f54b55b6273b,AM0962,AM0963,دولاب حمام -70 سم,1.000
7ff0eb30-3a75-9b90-649b-527c7b185abb,WS10016,WS10014,مقعد معلق (صندوق خارجي) أبيض,1.000
19f9b753-efcd-e46e-cc46-de2ebc416461,AM0574,AM0559,حوض وجه مع دولاب حمام -80 سم,1
b519075f-8032-4d6c-8991-d7570f17252e,AM0776,AB10741,خزانة حمام أبيض,1.000
850f1829-9bbb-e9b6-3cbc-4e1b6433f050,LG40769,EG40771,رف كواريون كوارتز 80سم أسود,1.000
7a70f275-8694-7d9a-b88c-80c89176cb50,ML30839,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
fa9d4a10-91fb-f11a-fa4f-10cc614ff109,AM0809,AM0810,دولاب حمام مع إضاءة لد-100 سم,1.000
35da7f7c-5001-2dd5-5c9b-aade1aae705c,AM0809,VS10811,حوض وجه معلق -100 سم,1.000
367e71b7-10f9-00b6-96a8-5810dea10bdb,AM0842,ML30839,مرايا حمام مع إضاءة لد80*60 سم,1.000
24140b54-a78f-8718-2648-54ee0618efdf,AM0777,AM0737,دولاب حمام مع حوض وجه 60 سم,1.000
104c7cc3-ce31-5f5d-0a9a-827125ed747c,AM0855,AM0859,دولاب حمام -80 سم,1.000
796f745b-9016-d2b1-2f10-68e29c339641,AM0849,AM0845,حوض وجه مع دولاب حمام -80 سم,1.000
a169b83b-b481-9c15-c824-03038957da1d,AM0127,AM0111,حوض وجه مع دولاب حمام -80 سم,1.000
24ff03a7-87a3-7cde-c087-30013db98f43,AM0349,AM0407,حوض وجه مع دولاب حمام -80 سم,1.000
102a9f08-6ba6-1d4a-e32b-8daaa5e0428c,LG40100,EG40082,رف حوض وجه برسلين 90 سم,2.000
5268b92a-158f-beb5-c238-84e452fd6b1d,ML30081,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
15032fda-915b-7978-9021-7d821c8d636b,AM0130,ML30121,مرايا حمام مع إضاءة لد 90 سم,1.000
d3b0e242-42d5-117d-1158-96426d4641fd,AM0349,AM0334,حوض وجه  دولاب حمام -80 سم,1.000
192c4cd3-0e30-4bc8-a8ea-30fc7c0d3b98,ML30080,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
950f8564-cb1c-43bf-aac0-91b83fa2ee79,LG41027,LG41028,حوض مع رف كواريون كوارتز 80سم أبيض,1.000
7d9a1cdb-0d38-80b7-386e-7c603df74606,AB10350,AB10116,خزانة حمام أبيض,1.000
f006d921-cf02-a660-ec80-c6abac731e65,AB10355,AB10350,خزانة حمام أبيض,1.000
0563a7ef-c3a4-20a6-3fc2-2f62762c72bc,AM0414,ML30413,مرايا حمام مع إضاءة لد 80*60 سم,1.000
9cfbe3fc-2e27-0b76-7a7a-c90c7dc6ee52,ML30099,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
35a29322-e06d-d66f-8da8-53c5a27225ed,LG40371,EG40346,رف حوض وجه برسلين 80 سم,1.000
f049650a-e2be-8b05-79ea-6ab17c13e61c,AM0857,AM0800,دولاب حمام مع إضاءة لد -90 سم,1.000
ad5c6f21-bc50-0217-269d-60f9801212b7,PA30223,LG40325,حوض وجه برسلين مشطوف 80 سم,1.000
8b6c2eb9-fc89-9ced-50e2-01a96679a8e0,LG40378,LG40319,حوض وجه برسلين مشطوف 80 سم,1.000
3aef91a2-c32c-42d8-edd6-a67ef2af1951,AM0855,AB10845,خزانة حمام أبيض,1.000
156d15ac-8d20-8f5e-dae5-3f2afd6dbb95,AM0348,AM0333,دولاب حمام 80 سم أبيض,1.000
50ba2637-6d74-12db-aaf9-e32051f1d8ba,AM0970,AM0971,دولاب حمام -60 سم,1.000
b67003ae-9d87-a562-2783-2a8894bee184,AM0805,AM0078,دولاب حمام -90 سم,1.000
d74cd116-a220-323e-0ed8-3c220bf35df8,AM0347,AM40345,مراية دولاب حمام -80 سم,1.000
58dde3b6-2ef3-7b08-12d3-4f5ab0a85659,AM0362,AM0359,حوض وجه  دولاب حمام -80 سم,1.000
c891545f-24be-8b0e-0f0f-da32cd94292e,AM0855,VS10843,حوض وجه معلق -80 سم,1.000
7c0b71bf-71df-1769-d76d-2a9ee1cdb950,AM40345,AM40335,مراية دولاب حمام -80 سم,1.000
685037cd-f42b-0c69-7d33-cee25b36fabd,LG40774,LG40939,حوض كواريون كوارتز 100سم,1.000
c5baa0ce-76ba-b0af-c031-b79f495b59ff,AM0839,AM0845,حوض وجه مع دولاب حمام -80 سم,1.000
2bf97ef5-f7b7-0aad-4330-c2415a93cbd4,LG40774,LG40773,حوض كواريون كوارتز 60سم,1.000
9b288e0d-2747-5d41-249e-ff9cfefd9852,AB10838,AB10741,خزانة حمام أبيض,1.000
bc84c614-62e9-3846-19ea-429c7fc20410,LG40199,EG40186,رف حوض وجه برسلين 80 سم,1.000
07b31e21-975e-91c4-88cc-1c20deed450a,LG40373,LG40400,حوض وجه برسلين 80 سم,1.000
0298d57c-dfb8-f1fa-4296-f4ede8587be8,AM0129,ML30108,مرايا حمام مع إضاءة لد 80*60 سم,1.000
2eef6bfc-87f0-9458-ab7b-393c83560279,ML30776,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
6bad116e-ab78-1d1b-d6ab-b4109a49ab43,ML30814,ML30079,مرايا حمام مع إضاءة لد 90*60 سم,1.000
772fe874-7952-8d63-2378-3e36e912f9eb,EG40186,EG40370,رف حوض وجه برسلين 80 سم,1.000
53cc58fc-f527-3f98-b2e2-07d08f4dc639,AM40565,AM40335,مراية دولاب حمام -80 سم,1.000
fea90029-ae5f-afba-1ee3-2ad8e872f024,AM0844,ML30834,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,1.000
517efeb1-b4c1-5b7e-3fae-fc4ea0d0f214,LG40396,EG40395,رف حوض وجه برسلين 80 سم,1.000
3eb74624-0538-5ff4-89cd-f29ebdc80064,LG40178,LG40369,حوض وجه برسلين مشطوف 80 سم,1.000
a07499d3-8941-03d0-834c-cf36e0f8df63,PSB10230,AM40227,مراية دولاب حمام -70 سم,1.000
b0bfa71b-7916-9d8b-a8fb-18a46d18184f,AM0850,AM0851,حوض وجه مع دولاب حمام -80 سم,1.000
d3d0dd3b-26ff-ee96-c327-9688b133c8b4,AM0419,ML30418,مرايا حمام مع إضاءة لد 80*60 سم,1.000
ae529ad6-b0f0-224c-2e48-6e13635e7431,AM0563,AM0334,حوض وجه  دولاب حمام -80 سم,1.000
d63777a3-bd8c-bda8-6a15-4be4acccbafa,LG40754,LG40749,حوض كواريون كوارتز80سم أبيض,1.000
fb6ec100-1d87-53d8-4155-720a7a082c44,AM0938,VS10939,حوض وجه معلق -80 سم,1.000
4b8bae7f-cedf-0b44-af76-f84d88dd32db,VS10841,VS10140,حوض وجه معلق -90 سم,1.000
9289ed26-a3a5-15a3-fa93-ed9da7667809,AM40351,AM40340,مراية دولاب حمام -80 سم,1.000
15a218ea-40af-00ce-db0f-d9306b11c1b1,AM0779,ML30750,مرايا حمام مع إضاءة لد,1.000
f91466f8-96c8-e102-eb0a-8318cc52f4ac,AM0859,AM0828,دولاب حمام -80 سم,1.000
17e658f2-197b-e979-0b28-8f8f560ca23d,AM40361,AM40351,مراية دولاب حمام -80 سم,1.000
5b3121ad-4a6c-d5d8-af05-693afe8856cc,AM0354,AM0334,حوض وجه  دولاب حمام -80 سم,1.000
6a84e168-4116-e18b-6645-b77e522a2409,LG40101,LG40081,قاعدة حوض وجه برسلين 90 سم,2.000
385bebe5-d1b4-ba4a-33d2-1b1d563b5e82,LG40386,LG40323,حوض وجه برسلين 65 سم,1.000
a7031b70-f705-4d39-1c2e-e66c9b92269a,AM0131,AM0112,حوض وجه مع دولاب حمام -80 سم,1.000
345ec5ba-59a1-f514-0beb-36bd7358e1a5,PSB10153,CD40101,مسطرة دوش زوجية كروم,1.000
4be67119-99dc-902a-f260-15e6edafa172,LG40755,LG40751,حوض كواريون كوارتز80سم أبيض,1.000
014a0a52-db1f-8d54-819b-ecec62dba6a1,ML30824,ML30802,مرايا حمام مع إضاءة لد 90*70 سم,1.000
429a127a-492f-ad99-500a-307439d1cdb7,AM0561,AM0559,حوض وجه مع دولاب حمام -80 سم,1
d0167ede-755f-a8c7-b4ac-5010f828dea7,ML30226,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
befd6d0d-3325-2607-4510-a314d731b3a1,ML30075,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
11d981ed-fb95-6098-a5ce-4b4eb3615242,LG40980,ML30983,مرايا حمام مع إضاءة لد-عرض60*90 سم,1.000
48a326d8-4810-bfed-9dbf-3d338088e9ed,AM0354,AM0349,حوض وجه  دولاب حمام -80 سم,1.000
e7f5a874-0b35-9d58-c9cd-115f61cbfcc9,VS10843,VS10140,حوض وجه معلق -90 سم,1.000
7f5a80b4-290d-58f9-e3c2-35a070ec97ac,AB10841,AB10838,خزانة حمام أبيض,1.000
f2096bf3-6a80-e4ab-89f2-3a64344c6ed5,AM0414,AB10412,خزانة حمام 120*24*20,1.000
2f4402d0-5316-4f03-dc1c-e2aa30203ebb,LG41138,ML31136,مرايا حمام مع إضاءة لد 80*60 سم,1.000
2c1b6e47-4867-666b-0fad-1880f408f643,AB10360,AB10116,خزانة حمام أبيض,1.000
e4fa070e-07a2-cba2-9f8c-41f9ac63e5f8,VS10825,VS10824,حوض وجه معلق -100 سم,1.000
37cc6ddd-ce05-fd85-2c79-2703e9358d91,AB10845,AB10803,خزانة حمام أبيض,1.000
2ba987d5-9c85-8436-6d1f-511910abbbca,ML30840,ML30838,مرايا حمام مع إضاءة لد80*60 سم,1.000
ff6170a0-11bd-e47c-e3c4-7339a8fde253,EG40371,EG40353,رف حوض وجه برسلين 80 سم,1.000
7cbb9380-cb93-ce7d-08de-e83eb12ef7bf,LG40154,EG40156,رف حوض وجه برسلين 80 سم,1.000
2f9383a4-be79-da61-dbcb-ab945a1fe6fb,AM0778,AM0738,دولاب حمام مع حوض وجه 60 سم,1.000
90bdad52-314a-f536-7aa6-027c39984dde,LG40401,EG40370,رف حوض وجه برسلين 80 سم,1.000
7830c1c8-a3b0-201a-85cb-6907265609ca,AM0696,AM0690,دولاب حمام مع حوض وجه 80 سم,1.000
9d2dd10a-3525-ef6c-a807-a1788bcc99ae,AM40565,AM40227,مراية دولاب حمام -70 سم,1.000
dd1239b6-b3fe-87b3-12cd-958d5dbdcdec,AM0822,AM0800,دولاب حمام مع إضاءة لد -90 سم,1.000
5bf1a0d3-1074-a4b1-73f5-123861f328eb,AB10346,AB10341,خزانة حمام أبيض,1.000
e2178489-6239-af1a-ed42-75d02ea66315,VS10811,VS10140,حوض وجه معلق -90 سم,1.000
ab3a06cd-9697-a416-b414-0e3ac29a7a3b,LG40191,EG40181,رف حوض وجه برسلين 100 سم,1.000
dad0d192-aeb5-7558-0b4b-8ca2dc12a222,AM0576,AM0574,حوض وجه مع دولاب حمام -60 سم,1
6de1e9a3-966e-d488-17ec-cff19d27d13c,AM0559,AM0112,حوض وجه مع دولاب حمام -80 سم,1.000
7cb6fd30-733d-d456-39d6-3abbff47f0b3,AM0842,AM0843,حوض وجه مع دولاب حمام -60 سم,1.000
e696ae69-e373-bef1-c67c-3180defa670f,ML30074,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
897ec908-f97a-0359-dcec-6f5909f9d381,ML30805,ML30114,مرايا حمام مع إضاءة لد 80*60 سم,1.000
a460b68c-0e9f-1571-76f4-5b1ee8d7050a,AM0852,AB10854,خزانة حمام أبيض,1.000
350ae404-8b94-f6a2-a773-d4c2079d9866,EG40181,EG40149,رف حوض وجه برسلين 100 سم,1.000
71f8f10b-a13c-0c45-ddde-77b2a6d12073,ML30802,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
