Code article,Désignation,Marque,Modèle,Couleur,Nom fournisseur,Famille,سعر الشراء,Detail - القطاعي - LYD - Lybia,Gros -  الجملة - LYD - Lybia,النوع, مخزن 11 يونيو,مخزن السراج,جنزور
ELC1473,سلك كهرباء 1 *2.5 مم²,الشركة العالمية للتصدير و الإستيراد,,أَحْمَر,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),الأسلاك والكابلات,2.2,2.75,2.75,,0,0,0
RO10476,حنفية 3/4 ,سانيتاري ويرز,FIRMER YLN6313-3/4,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),حنفية,24.5,35,30,,0,0,0
PA30479,بينسة رقم 8,اي بي سي,AC18641,أسود,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفك البراغي يدوي,12.75,22,17,,0,0,0
PA30480,بينسة رقم 8,اي بي سي,AC18795,أَصْفَرُ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفك البراغي يدوي,13.5,23,18,,0,0,0
PE30484,موس لحم,فندر,191804,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),موس فرش والمقص,18,27,22,,0,0,0
PA30492,منشار جبس 6.5'' 165 مم,فندر,SDY-97744,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),منشار يدوي,13.75,25,18,,0,0,0
PA30498,بونتة 12 * 450 مم,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات الثقب,7.5,11,9.5,طويل,0,0,0
PA30515,دراع 2 متر,الشركة العالمية للتصدير و الإستيراد,LAMEL 60x30 cm 200,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات القياس والتتبع,42.5,60,55,,0,0,0
PA30516,دراع 2.5 متر,الشركة العالمية للتصدير و الإستيراد,LAMEL 60x30 cm 250,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),أدوات القياس والتتبع,58,80,70,,0,0,0
RA30545,قفل باب رئيسي,الشركة العالمية للتصدير و الإستيراد,DAF 540.14-3M,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),قفل باب,57,90,72,,0,0,0
LG40559, حوض وجه برسلين مشطوف مع رف 80 سم ,الشركة العالمية للتصدير و الإستيراد,2708,,شركة المتخصص الليبي,حوض وجه برسلين,585,750,700,معلق,0,0,0
PA30561,فيتي بالخبور 6 مم,المتفوق,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),برغي,3.75,6,5,,0,0,0
ACOL30577,ريتي لياسة 20 سم * 20 متر,أسترا,,أَزْرَقُ,شركة الركن الجديد,ملحقات غراء البلاط و الأرضيات,19.5,30,25,,0,0,0
PE30590,مشمع ثقيل 3 * 2,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,9,15,12,,0,0,0
PE30593,مشمع ثقيل 3 * 5,الشركة العالمية للتصدير و الإستيراد,,بُرْتُقَالِيّ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,25.5,35,32,,0,0,0
PE30594,مشمع ثقيل 4 * 4,الشركة العالمية للتصدير و الإستيراد,,بُرْتُقَالِيّ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,25.8,35,32,,0,0,0
PE30595,مشمع ثقيل 5 * 6,الشركة العالمية للتصدير و الإستيراد,,رصاصي,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,47.5,75,60,,0,0,0
LG40376, حوض وجه برسلين مع رف 80 سم ,رويال,2709,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,580,750,730,معلق,0,0,0
LG40373, حوض وجه برسلين مع رف 80 سم ,رويال,2717,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,485,650,600,معلق,0,0,0
LG40402, حوض وجه برسلين مع رف 80 سم ,رويال,2716,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,485,650,600,معلق,0,0,0
LG40368, حوض وجه برسلين مشطوف 80 سم ,سانيتاري ويرز,2711,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,400,600,540,معلق,1,-1,0
EG40373,رف حوض وجه برسلين 80 سم,سانيتاري ويرز,2711,,دار الخزف للمواد الصحية (11 يونيو),رف حوض وجه برسلين,185,350,280,معلق,1,-1,0
LG40401, حوض وجه برسلين مشطوف مع رف 80 سم ,الشركة العالمية للتصدير و الإستيراد,2710,,شركة المتخصص الليبي,حوض وجه برسلين,400,750,700,معلق,0,0,0
LG40403, حوض وجه برسلين مشطوف مع رف 80 سم ,الشركة العالمية للتصدير و الإستيراد,2711,,شركة المتخصص الليبي,حوض وجه برسلين,585,750,700,معلق,0,0,0
PE30371,فوم 750 غرام,بولبو,PF480,,مجموعة الخليج,المواد اللاصقة و العازلة,16,20,17.5,,0,0,0
PE30378,طلاء عاز ل مطاطي اكسترا 1 كغ,الواحة,العازل اكسترا,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,16.5,20,19,,0,0,0
PE30379,طلاء عاز ل مطاطي اكسترا 3 كغ,الواحة,العازل اكسترا,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,42.5,50,49,,0,0,0
PE30380,طلاء عاز ل مطاطي اكسترا 5 كغ,الواحة,العازل اكسترا,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,68.5,80,79,,0,0,0
PE30381,طلاء عاز ل مطاطي اكسترا 10 كغ,الواحة,العازل اكسترا,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,137,155,152,,0,0,0
PE30382,طلاء عاز ل مطاطي اكسترا 15 كغ,الواحة,العازل اكسترا,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,205,230,227,,0,0,0
PE30383,طلاء عاز ل مطاطي اكسترا 3 كغ,الواحة,العازل اكسترا,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,35,40,39,,0,0,0
PE30384,طلاء عاز ل مطاطي اكسترا 5 كغ,الواحة,العازل اكسترا,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,53,60,59,,0,0,0
PE30385,طلاء عاز ل مطاطي اكسترا 10 كغ,الواحة,العازل اكسترا,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,105,120,117,,0,0,0
PE30386,طلاء عاز ل مطاطي اكسترا 15 كغ,الواحة,العازل اكسترا,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران والسقف,155,175,172,,0,0,0
PE30387,طلاء عاز ل مطاطي  1 كغ,الواحة,العازل,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,14,20,17,,0,0,0
PE30388,طلاء عاز ل مطاطي  5 كغ,الواحة,العازل,أبيض,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,55,65,62,,0,0,0
PE30391,طلاء عاز ل مطاطي  3 كغ,الواحة,العازل,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,27,40,37,,0,0,0
PE30392,طلاء عاز ل مطاطي  5 كغ,الواحة,العازل,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,45,53,50,,0,0,0
PE30393,طلاء عاز ل مطاطي  10 كغ,الواحة,العازل,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,80,95,92,,0,0,0
PE30394,طلاء عاز ل مطاطي  15 كغ,الواحة,العازل,شفاف,مجموعة بن عمر BEN AMOR Group,الجدران خارجي,120,135,132,,0,0,0
ML30370,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,1442,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,160,140,مربع,0,0,0
ML30371,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,1429,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,160,140,مربع,0,0,0
ML30372,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,1432,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,160,140,مربع,0,0,0
ML30373,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,1437,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,160,140,مربع,0,0,0
ML30374,مرايا حمام مع إضاءة لد مع اطار أسود 80*60 سم,سانيتاري ويرز,1440,أسود,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,145,210,185,مربع,1,-1,0
ML30377,مرايا حمام مع إضاءة لد دائرية مع اطار 60سم,سانيتاري ويرز,MB60,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,165,260,220,دائري,0,0,0
ML30378,مرايا حمام مع إضاءة لد دائرية مع اطار 80سم,سانيتاري ويرز,MB80,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,185,280,240,دائري,0,0,0
ML30379,مرايا حمام مع إضاءة لد 100*80 سم,سانيتاري ويرز,293A,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,155,240,200,مربع,0,0,0
ML30380,مرايا حمام مع إضاءة لد دائرية بالعلاقة مع اطار أسود 60سم,سانيتاري ويرز,1213,أسود,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,155,250,200,لاد,0,0,0
ML10381,خلاط حوض وجه  كروم,ليسو,JR031-36,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض وجه,85,140,110,,0,0,0
ARSB80045,مخرج شطاف مع علاق كروم,سانيتاري ويرز,I.DOWAS 1109a,كروم,شركة المضمونة للبناء,مخرج شطاف,55,100,75,دائري,0,0,0
ARSB8052,مخرج شطاف مع علاق ذهبي,مجموعة بن عمر,48593,ذهبي,مجموعة بن عمر BEN AMOR Group,مخرج شطاف,70,100,85,دائري,0,0,0
WA40080,غطاء مقعد 9009 أبيض ,مجموعة بن عمر,,أبيض,مجموعة بن عمر BEN AMOR Group,غطاء مقعد,30,70,50,دائري,0,0,0
LG40083,طقم حوض وجه برسلي 90سم,سانيتاري ويرز,A05,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,520,750,720,معلق,0,0,0
ARSB8079,مصب دوش طويل بتحويلة كروم,توريما,0327411-T40,كروم,  شركة أجياد ليبيا ,مصب دوش,330,400,325,مربع,0,0,0
PA30086,فيتي 5 * 50مم 60 قطعة,باركسايد,,برنزي,تولين للبضائع الأوروبية,برغي,5,12,9,,0,0,0
PA30087,فيتي 4 * 40مم 120 قطعة,باركسايد,,برنزي,تولين للبضائع الأوروبية,برغي,5,12,9,,0,0,0
PA30088,فيتي 5 * 60مم 40 قطعة,باركسايد,,برنزي,تولين للبضائع الأوروبية,برغي,5,12,9,,0,0,0
RFP1094,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 60سم",سانيتاري ويرز,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),فسيبلي,13.5,20,18,دائري,0,0,0
RO10095,مسكر زاوية  ''1/2 * ''1/2 كروم,سانيتاري ويرز,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),حنفية,6.75,15,10,دائري,0,0,0
RO10096,مسكر زاوية  ''1/2 * ''1/2 كروم,فيرمر,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),حنفية,14.5,20,19,دائري,-1,1,0
SI10098,سلكون  280 غرام شفاف,بوڨاتي,SIGPLL,شفاف,دار الخزف للمواد الصحية (11 يونيو),سلكون,15,20,17,,0,0,0
WS10016,مقعد معلق مع صندوق خارجي أبيض ,سانيتاري ويرز,2194,أبيض,دار الخزف للمواد الصحية (11 يونيو),مقعد معلق,570,970,900,دائري,0,0,0
EL10018,حوض مطبخ ستانلس ستيل   304 50.5*55 كروم,أسيل,AS 383,كروم,دار الخزف للمواد الصحية (11 يونيو),حوض مطبخ ستانلس ستيل,345,490,450,فردي,0,0,0
ME10022,خلاط حوض المطبخ شجرة كروم,شيزا,NOVA U SPOUT,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ شجرة,155,240,200,,0,0,0
ML10057,خلاط حوض وجه  15 سم كروم ,شيزا,ROBIN,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,190,290,230,قصير,0,0,0
ML10058,خلاط حوض وجه  15 سم كروم ,شيزا,LAYER,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,150,240,150,قصير,0,0,0
MT30027,خلاط شطاف مع شطاف كروم ,شيزا,MELLOW,كروم,  شركة أجياد ليبيا ,خلاط شطاف,130,210,165,,0,0,0
ML10060,خلاط حوض وجه أسود ,شيزا,COBRA 45578 BL,أسود,  شركة أجياد ليبيا ,خلاط حوض وجه,250,390,310,قصير,0,0,0
ML10070,خلاط حوض وجه طويل كروم ,شيزا,GLAYOR,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,125,200,160,دائري,0,0,0
ARSB80028,سماعة دوش مع طوبو كروم,توريما,1372-006,كروم,  شركة أجياد ليبيا ,سماعة دوش,95,170,120,مربع,0,0,0
VP20102,حوض وجه فوق الرخام أبيض ,سانيتاري ويرز,2135,أبيض,دار الخزف للمواد الصحية (11 يونيو),حوض فوق الرخام,95,250,220,مربع,0,0,0
AM0103,دولاب حمام 80 سم أبيض,سانيتاري ويرز,2135,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,500,800,750,,0,0,0
AB10104,خزانة حمام أبيض ,سانيتاري ويرز,2135,أبيض,دار الخزف للمواد الصحية (11 يونيو),خزانة حمام,250,400,320,بي في سي,0,0,0
ML30105,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,2135,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,130,300,240,لاد,0,0,0
AM0106,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,5027,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,600,1000,900,بي في سي,1,-1,0
AB10107,خزانة حمام أبيض ,سانيتاري ويرز,5027,أبيض,دار الخزف للمواد الصحية (11 يونيو),خزانة حمام,255,400,320,بي في سي,1,-1,0
ML30108,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,5027,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,100,250,200,لاد,1,-1,0
ML30109,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,9126C,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,100,250,200,لاد,0,0,0
AB10110,خزانة حمام أبيض ,سانيتاري ويرز,9126C,أبيض,دار الخزف للمواد الصحية (11 يونيو),خزانة حمام,255,400,320,بي في سي,0,0,0
AM0111,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9126C,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,600,1000,900,بي في سي,0,0,0
VP20119,حوض وجه فوق الرخام 100 سم أبيض,سانيتاري ويرز,9135,أبيض,دار الخزف للمواد الصحية (11 يونيو),حوض فوق الرخام,350,600,500,,1,-1,0
AM0120,دولاب حمام 100 سم أبيض,سانيتاري ويرز,9135,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,700,1000,930,,1,-1,0
ML30121,مرايا حمام مع إضاءة لد 90 سم,سانيتاري ويرز,9135,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,240,350,300,لاد,1,-1,0
PD20122,حاجز دوش 8 مم  مضبب190*100  سم,ليسو,WIC-100D,,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,395,680,600,,0,0,0
PD20123,حاجز دوش 8 مم  مضبب120  سم,ليسو,WIC-120D,,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,495,750,700,,0,0,0
PD20124,حاجز دوش 8 مم  مضبب80  سم,ليسو,WIC-80D,,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,355,600,550,,0,0,0
PD20125,حاجز دوش 8 مم  مضبب90  سم,ليسو,WIC-90D,,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,370,650,600,,0,0,0
PD20126,حاجز دوش 8 مم  مربعات80  سم,ليسو,WIC-80C,شفاف,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,395,600,550,مستطيل,0,0,0
AM0127, دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,9126C,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,955,1400,1320,بي في سي,0,0,0
AM0128, دولاب حمام بالملحق مع مرايا لد -100 سم,سانيتاري ويرز,9126G,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,1080,1850,1750,بي في سي,0,0,0
AM0129, دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,5027,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,955,1400,1300,بي في سي,0,0,0
AM0130,حوض وجه مع دولاب حمام مع مرايا لد-100 سم,سانيتاري ويرز,9135,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,1290,1750,1680,بي في سي,0,0,0
AM0131, دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,9212,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,255,1400,1320,بي في سي,0,0,0
AM0132, دولاب حمام بالملحق مع مرايا لد -80 سم,سانيتاري ويرز,2135,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,975,1400,1320,بي في سي,0,0,0
ARSB80030,شطاف ظغط دائري مع طوبو كروم,توريما,1372-018,كروم,  شركة أجياد ليبيا ,شطاف,110,180,140,دائري,0,0,0
MTE60003,خلاط شطاف مدفون أسود ,توريما,8V000BB-093,أسود,  شركة أجياد ليبيا ,خلاط شطاف مدفون,485,870,870,,0,0,0
MDE50051,خلاط دوش مدفون كروم ,توريما,8X01011-094,كروم,شركة الركن الجديد,خلاط دوش مدفون,310,480,380,مربع,0,0,0
MT30005,خلاط شطاف كروم,توريما,EDGE 8E25211-040,كروم,  شركة أجياد ليبيا ,خلاط شطاف,180,280,225,,0,0,0
MD20014,خلاط دوش كروم,توريما,8E16011-090,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط دوش,335,510,410,,0,0,0
ML10011,خلاط حوض وجه كروم ,توريما,BLOG 8G54511-T40,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,615,930,745,طويل,0,0,0
MLE40007,خلاط حوض وجه مدفون مع مَصَب كروم,توريما,VELVET 8V31311-090,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه مدفون,510,890,890,مربع,0,0,0
MD20015,خلاط دوش كروم,توريما,MERIDA 8Q16011-093,كروم,  شركة أجياد ليبيا ,خلاط دوش,345,530,420,,0,0,0
MM30008,خلاط حوض المطبخ حائطي كروم,توريما,MERIDA 8Q91211-040,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ حائطي,295,450,360,مربع,0,0,0
ME10014,خلاط حوض المطبخ شجرة كروم,توريما,TAG 8L52711-040,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ شجرة,150.625,240,190,دائري,0,0,0
MM30012,خلاط حوض المطبخ حائطي كروم,توريما,BLOG 8G91011-043,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ حائطي,295,450,360,مربع,0,0,0
MA20018,خلاط حوض المطبخ سحاب كروم,توريما,FUNZIONI 1751211-T40,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ سحاب,530,740,590,دائري,0,0,0
ALVM50016,سيفون حوض الوجه أسود,توريما,03313BB-T42,أسود,  شركة أجياد ليبيا ,سيفون حوض الوجه,460,800,800,مربع,0,0,0
ALVM50017,سيفون حوض الوجه طويل كروم,توريما,0331311-T42,كروم,  شركة أجياد ليبيا ,سيفون حوض الوجه,190,285,230,مربع,0,0,0
ARSB80016,سماعة دوش مع طوبو مع مخرج أسود,توريما,03203BB-T40,أسود,  شركة أجياد ليبيا ,سماعة دوش,365,650,650,مربع,0,0,0
ML10012,خلاط حوض وجه كروم ,شيزا,COBRA 45578 CR,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,215,350,265,,0,0,0
ALVM50020,رأس سيفوني حوض الوجه طويل أسود,توريما,1372-002,أسود,  شركة أجياد ليبيا ,رأس سيفوني,145,230,180,دائري,-1,1,0
ME10015,خلاط حوض المطبخ شجرة كروم,فرامو,DE160CR,كروم,شركة المضمونة للبناء,خلاط حوض المطبخ شجرة,245,380,300,,0,0,0
ML10013,خلاط حوض وجه كروم ,فرامو,HO204CR,كروم,شركة الركن الجديد,خلاط حوض وجه,315,390,390,,0,0,0
ML10015,خلاط حوض وجه كروم ,فرامو,LM204TCCR,كروم,شركة الركن الجديد,خلاط حوض وجه,355,480,460,,0,0,0
ML10071,خلاط حوض وجه طويل كروم,فرامو,SM204H18TCCR,كروم,شركة الركن الجديد,خلاط حوض وجه,390,495,495,طويل,0,0,0
ML10073,خلاط حوض وجه كروم,فرامو,TU204CR,كروم,شركة الركن الجديد,خلاط حوض وجه,194,260,245,,0,0,0
MD20021,خلاط دوش مع سماعة كروم,فرامو,NM202CR,كروم,شركة المضمونة للبناء,خلاط دوش,325,440,400,,0,0,0
MTE60028,خلاط شطاف مدفون برنزي,فرامو,PA206BRO,برنزي,شركة الركن الجديد,خلاط شطاف مدفون,525,650,640,,0,0,0
ARSB80032,شطاف ظغط مع طوبو برنزي,فرامو,KIT03BRO,برنزي,شركة الركن الجديد,شطاف,290,390,355,دائري,0,0,0
ARSB80034,شطاف ظغط مع طوبو ذهبي,فرامو,KIT03ORO,ذهبي,شركة الركن الجديد,شطاف,290,400,370,دائري,0,0,0
MTE60035,خلاط شطاف مدفون كروم ,فرامو,DE206CR,كروم,شركة الركن الجديد,خلاط شطاف مدفون,160,250,200,,0,0,0
ARSB80040,شطاف ظغط مربع مع طوبو كروم,فرامو,KIT04CR,كروم,شركة المضمونة للبناء,شطاف,165,240,205,مربع,0,0,0
ARSB80041,شطاف ظغط مربع مع طوبو كروم,فرامو,KIT03CR,كروم,شركة المضمونة للبناء,شطاف,105,160,130,دائري,0,0,0
MTE60037,خلاط شطاف مدفون كروم ,دانيال,RIO R6602CR,كروم,مجموعة العربي,خلاط شطاف مدفون,160,230,190,,0,0,0
MTE60040,خلاط شطاف مدفون كروم ,دانيال,TIARA TA602GCR,كروم,مجموعة العربي,خلاط شطاف مدفون,200,330,250,مربع,0,0,0
MDE50038,خلاط دوش مدفون كروم,دانيال,TIARA TA612GCR,كروم,مجموعة العربي,خلاط دوش مدفون,345,530,420,مربع,0,0,0
MDE50039,خلاط دوش مدفون كروم,دانيال,RIO R6612CR,كروم,مجموعة العربي,خلاط دوش مدفون,380,590,475,دائري,0,0,0
ARSB80044,سماعة دوش مع طوبو كروم,دانيال,A44835PX150S,كروم,شركة آفاق المتحدة لإستيراد مواد البناء,سماعة دوش,97.5,170,150,دائري,0,0,0
ME10016,حنفية حوض المطبخ شجرة كروم,فينوس,CALVIN I,كروم,شركة لمسات البناء,حنفية حوض المطبخ,95,150,120,دائري,0,0,0
MTE60005,خلاط شطاف مدفون كروم ,فيوري,100CR7582,كروم,شركة الإزدهار مصراتة,خلاط شطاف مدفون,240,370,295,مربع,0,0,0
MDE50007,خلاط دوش مدفون كروم ,فيوري,100CR7581,كروم,شركة آفاق المتحدة لإستيراد مواد البناء,خلاط دوش مدفون,320,790,680,مربع,0,0,0
RE10004,حنفية حوض المطبخ شجرة كروم,فينوس,RACHEL I,كروم,شركة لمسات البناء,حنفية حوض المطبخ,95,150,120,دائري,0,0,0
ML10074,خلاط حوض وجه  كروم,ليسو,JR031-37,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض وجه,85,140,130,,0,0,0
ML10081,خلاط حوض وجه كروم,جي اف مارك,6736D,كروم,شركة المتخصص الليبي,خلاط حوض وجه,310,450,380,مربع,0,0,0
MA20008,خلاط حوض المطبخ سحاب أسود,جي اف مارك,6229X,أسود,شركة المتخصص الليبي,خلاط حوض المطبخ سحاب,200,320,250,دائري,0,0,0
ARSB80020,كسكاس دوش مربع 300*300 مم مع قصبة كروم,دانيال,A553QSD30,كروم,مجموعة العربي,كسكاس دوش,395,680,550,مربع,0,0,0
MO10006,خلاط حوض المطبخ تحلية كروم,فيوري,73CR419,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ تحلية,330,470,405,دائري,0,0,0
MT30007,خلاط شطاف كروم,سانيتاري واير,LEONARDO 2023-58,كروم,  شركة أجياد ليبيا ,خلاط شطاف,65,120,85,دائري,0,0,0
MD20022,خلاط دوش مع طوبو كروم,سانيتاري ويرز,PURE MOH-40,كروم,شركة العامر لإستيراد مواد البناء و الصحية,خلاط دوش,68,130,90,دائري,0,0,0
MA20020,خلاط حوض المطبخ دبل سحاب أسود كروم,سانيتاري ويرز,1130-33BN-BO-DE,أسود,تولين للبضائع الأوروبية,خلاط حوض المطبخ سحاب,225,490,280,,0,0,0
MD20133,خلاط دوش مع سماعة كروم,سانيتاري ويرز,S1002,كروم,شركة الركن الجديد,خلاط دوش,60,120,100,,0,0,0
ME10019,خلاط حوض المطبخ شجرة كروم,شيزا,FLOWER,كروم,  شركة أجياد ليبيا ,خلاط حوض المطبخ شجرة,115,190,160,دائري,0,0,0
MA20052,خلاط حوض المطبخ سحاب كروم,ليسو,,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض المطبخ سحاب,225,340,270,دائري,0,0,0
MA20021,خلاط حوض المطبخ سحاب ذهبي,سانيتاري ويرز,AF-08,ذهبي,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض المطبخ سحاب,170,250,210,دائري,0,0,0
ME10034,خلاط حوض المطبخ شجرة كروم,أيولي,STILE 9446,كروم,شركة ولاء الأولى,خلاط حوض المطبخ شجرة,217,340,290,دائري,0,0,0
ME10035,خلاط حوض المطبخ شجرة كروم,أيولي,STILE 9450,كروم,شركة ولاء الأولى,خلاط حوض المطبخ شجرة,190,300,235,دائري,0,0,0
MA20025,خلاط حوض المطبخ سحاب كروم,نيوأرك,STEP 900591,كروم,مجموعة الخليج,خلاط حوض المطبخ سحاب,545,600,590,دائري,0,0,0
ME10026,خلاط حوض المطبخ شجرة أسود,نيوأرك,AQUA 941881B,أسود,مجموعة الخليج,خلاط حوض المطبخ شجرة,265,330,330,مربع,0,0,0
MA20080,خلاط حوض المطبخ سحاب كروم,يولي,JR031-35,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض المطبخ سحاب,245,400,260,,0,0,0
MD20018,خلاط دوش كروم,نيوأرك,MASTER 187511,كروم,مجموعة الخليج,خلاط دوش,190,290,235,,0,0,0
MD20019,خلاط دوش كروم,نيوأرك,LOFT 921041,كروم,مجموعة الخليج,خلاط دوش,125,200,160,,0,0,0
ARSB80035,سماعة دوش كروم,دانيال,A435S,كروم,مجموعة العربي,سماعة دوش,125,190,160,دائري,0,0,0
ME10038,خلاط حوض المطبخ تحلية شجرة كروم,سانيتاري ويرز,AR529,كروم,مجموعة العربي,خلاط حوض المطبخ شجرة,280,430,345,,0,0,0
ME10039,خلاط حوض المطبخ شلال شجرة رصاصي,سانيتاري ويرز,8881-10,رصاصي,شركة لمسات البناء,خلاط حوض المطبخ شجرة,155,240,195,دائري,0,0,0
ME10041,خلاط حوض المطبخ شلال شجرة أسود,سانيتاري ويرز,8881-9,أسود,شركة لمسات البناء,خلاط حوض المطبخ شجرة,155,220,180,دائري,0,0,0
ML10091,خلاط حوض وجه  كروم,شهاب,NEW MARJAN,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط حوض وجه,145,220,165,دائري,0,0,0
ML10098,خلاط حوض وجه أسود,نيوأرك,AQUA 941521B,أسود,مجموعة الخليج,خلاط حوض وجه,230,330,285,مربع,0,0,0
MT30015,خلاط شطاف مع شطاف كروم,سانيتاري ويرز,VESUN Z-9000-12,كروم,شركة المرابط,خلاط شطاف,69,110,90,,0,0,0
