code,name,brand,model,category,supplier_id,purchase_price,retail_price,active,barcode,old_id
MM30011,خلاط حوض المطبخ حائطي كروم,اعتماد,MEGA 546,خلاط حوض المطبخ حائطي,4db58ef5-0e02-ae07-fc14-5629c40b7689,130.000,200.000,t,,210002740
ALVM50808,سيفون حوض الوجه كروم,توريما,1372-01658-002,سيفون حوض الوجه,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,205.000,300.000,t,,310003924
ML10023,خلاط حوض وجه كروم,شيزا,GLAYOR,خلاط حوض وجه,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,127.546,220.000,t,,210002606
ML30108,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,5027,مراية مضيئة,f68c4a72-8eb2-7563-07ad-b344ff9fe960,100.000,250.000,t,,210004269
ATWC50313,صندوق طرد مدفون بتارية مع زر دائري 9 لتر,غروهي,38723,ملحقات مقاعد,f68c4a72-8eb2-7563-07ad-b344ff9fe960,920.000,930.000,t,,210003050
EL10019,حوض مطبخ ستانلس ستيل   304 85*45 كروم,أسيل,AS 3470,حوض مطبخ ستانلس ستيل,f68c4a72-8eb2-7563-07ad-b344ff9fe960,540.000,900.000,t,,310002624
AM0338,دولاب حمام 80 سم أبيض,سانيتاري ويرز,8103,دولاب حمام,9a9f39af-a0d0-6a64-969d-7baa03e28c4f,230.000,500.000,t,,210004782
ARSB8040,شطاف ظغط مربع مع طوبو ذهبي,سانيتاري ويرز,MAF ELSEAH,شطاف,2e234c5a-ae37-77f1-3c02-d40e664e7d50,72.000,120.000,t,,210003341
PA30568,دادو بالخبور 10مم,الشركة العالمية للتصدير و الإستيراد,,برغي,4db58ef5-0e02-ae07-fc14-5629c40b7689,0.237,0.500,t,,210004085
ML30378,مرايا حمام مع إضاءة لد دائرية مع اطار 80سم,سانيتاري ويرز,MB80,مراية مضيئة,f68c4a72-8eb2-7563-07ad-b344ff9fe960,185.000,300.000,t,,210004201
LG40334,حوض وجه برسلين 100 سم,رويال,YB032_11,حوض وجه برسلين,60d7d8a2-1083-abe4-d894-b1c7f3235d40,310.000,450.000,t,,210003078
ML10145,خلاط حوض وجه مدفون مع مصب ذهبي,توريما,VELVET 8V31333-090,خلاط حوض وجه مدفون,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,680.000,950.000,t,,210002849
LG40403,حوض وجه برسلين مشطوف مع رف 80 سم,الشركة العالمية للتصدير و الإستيراد,2711,حوض وجه برسلين,60d7d8a2-1083-abe4-d894-b1c7f3235d40,585.000,950.000,t,,210004166
LG40337,حوض وجه برسلين 100 سم,رويال,YB032_1,حوض وجه برسلين,60d7d8a2-1083-abe4-d894-b1c7f3235d40,310.000,450.000,t,,210003080
AASB30055,حاملة فرشاة أسنان زجاجي,جي اف مارك,9200-61,اكسسوارات,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,38.000,70.000,t,,310002918
AASB30034,مجفف شعر أبيض,بريمكس,882,اكسسوارات,0dafba13-51f2-fc5a-eab7-f16d55bcce40,85.000,120.000,t,,210003460
PA30449,خيط أحذية 120 غ,الشركة العالمية للتصدير و الإستيراد,,خيط، حبل,4db58ef5-0e02-ae07-fc14-5629c40b7689,2.100,5.000,t,,210003960
AASB30077,مجفف يد كروم,سانيتاري ويرز,,اكسسوارات,0dafba13-51f2-fc5a-eab7-f16d55bcce40,390.000,550.000,t,,210003538
AM40945,مراية دولاب حمام 80 سم,بن أمور,G011-80-C,مراية دولاب,3b74be9f-643f-cd77-2128-39d8b10170c9,200.000,350.000,t,,310004415
PE30324,كولة 118 مل,الشركة العالمية للتصدير و الإستيراد,,المواد اللاصقة و العازلة,4db58ef5-0e02-ae07-fc14-5629c40b7689,11.500,20.000,t,,210003823
PA30431,ڨوانطي,فندر,,قفازات,4db58ef5-0e02-ae07-fc14-5629c40b7689,6.100,15.000,t,,210003942
ARSB80242,مخرج شطاف أبيض,فرامو,PRA01BO,مخرج شطاف,f9f6d83d-5b9d-2d22-c42a-21b487031fad,150.000,200.000,t,,310003059
ARSB80660,مخرج شطاف مع علاق كروم,بن أمور,B.A-CI.A,مخرج شطاف,ac78bb51-d153-70a3-ad89-bdb50a8537eb,25.000,60.000,t,,310003768
CE10106,سخانة 80 لتر,ناسو,,سخانة,4db58ef5-0e02-ae07-fc14-5629c40b7689,395.000,420.000,t,,210004464
