id,sale_id,product_code,product_name,qty,unit_price,line_discount,discount_text,line_total,unit_cost_at_sale,old_id
52c921a5-2ee3-de6f-e441-35aeb9c16d56,a029203b-76aa-d44e-b408-a028364a4416,PLSA0241,مطول  15 مم كروم,-2,12.000,0.000,"",-24.000,5.900,310014911
cde7a7d3-0b8d-ed9a-be5b-03d331fb008b,4b35f8fb-0f40-2b0a-0ce1-b3f382b05eaa,PE30068,طلاء بخاخ داخلي و خارجي أصفر,4,10.000,0.000,"",40.000,4.333,210015457
e8e39e4f-5651-144e-74a0-b82581c9df40,e580ccd0-ef09-9553-56f6-3b06476862d8,PE30100,ملعقة 20سم,1,10.000,0.000,"",10.000,5.500,210015468
60c4c210-fda6-e71a-374d-e438e96dc15a,9524707f-ab9e-e912-de7e-0996540b0778,PA30568,دادو بالخبور 10مم,40,0.500,0.000,"",20.000,0.237,210015479
83029c77-0cb2-6505-5087-42b7bf5cb904,c1b58705-f3bf-072f-498e-f48fface9a48,PS20041,علاقة ملابس رباعية,1,90.000,0.000,"",90.000,52.380,210015484
d3be11f4-40b6-35a7-776e-66e40bbe1958,c817eac2-268f-7b06-0b9c-6497e6427d80,PA30046,كيس فارغ أبيض,10,1.000,0.000,"",10.000,0.800,210015490
a44677a4-7733-015e-40cf-d277ed97a836,fd8ed4c5-b22c-3a24-ff42-2b5fedc416e0,PE30377,اسمنت ابيض 1كغ,2,2.000,0.000,"",4.000,0.880,210015501
a448db68-6f81-a8a8-639a-54cb3492784a,5023a722-2ee7-a843-5761-203bc79d8502,PA30046,كيس فارغ أبيض,4,1.250,0.000,"",5.000,0.900,210022263
1ceb396b-5b9f-bac9-640e-e32dc6bb8dce,7eb5b6e6-d08a-5a67-cbf3-0fade286edb4,PE30089,دلونتي 1لتر,2,15.000,0.000,"",30.000,9.583,210021067
ef2ef970-6e70-31fe-e587-9fd1450479f4,a0587bda-94c3-45b0-8af5-6617112f1d98,RA30041,"ديسكو خرسانة 9"" 230 مم",2,17.000,0.000,"",34.000,10.500,210021069
3c8f70d1-e4d1-3872-6b0a-36402f08b17a,87a60dc7-0ef3-cf9e-4f0f-10e38dc2aa65,RA20039,"طابة 25"" لحام",2,3.000,0.000,"",6.000,0.523,210021070
0e5342fc-9c84-c60a-4a16-284d64e4e044,c5289bab-733d-1849-76b1-3393496abbfd,PE30036,استوك 18 كغ,1,57.000,0.000,"",57.000,45.590,210021071
2be238fe-a59d-f6c0-2cdf-74e65b95a35b,ad417d5e-202c-bf60-df75-04da0145d2db,ARSB80277,"مسكر شطافة ""1/2"" * ""1/2 كروم",1,45.000,0.000,"",45.000,23.500,210021072
d489dcde-7e17-c170-cd3a-63f7ef8d9c47,72b79672-9343-cd80-6cd3-32f561d3f9a1,PA30374,كستولة,1,16.000,0.000,"",16.000,10.500,210021073
09eaa202-2484-db6a-c39c-c74e375522b4,311644a1-d879-1f4c-86b7-918236844595,PE30985,طلاء مائي داخلي 4 كغ أبيض مطفي,1,40.000,0.000,"",40.000,33.250,210015516
9950de0f-306a-9778-513a-28f48be89702,8929ce96-f4ed-4e80-3a6a-7d0b11aa5a82,PE30427,موس فرش 18 مم,1,5.000,0.000,"",5.000,1.917,210021528
9ec04fb5-4f87-94f2-3a8c-fe6dbc27d1e6,7d4d6983-cd0e-8ae2-5151-13f0896ce848,AM0754,دولاب حمام مع حوض 80 سم,1,1380.000,0.000,"",1380.000,895.000,210022260
07ef17d0-84f6-5681-0daf-13557997cd5f,7d4d6983-cd0e-8ae2-5151-13f0896ce848,ML30495,مرايا حمام مع إضاءة لد 80*60 سم,1,200.000,0.000,"",200.000,120.000,210022261
167f4c8a-9899-a4f3-7ef2-db91b6888b89,d1af221d-364a-532e-acbc-56a7c0238145,RA30368,مقبض باب مع قفل 85 مم,-1,90.000,0.000,"",-90.000,68.000,210022262
e81e8653-3cbd-33a8-391f-4bf84dbaddf0,6553ed57-0d95-f64f-4775-4e661a0015e1,MT30018,خلاط شطاف كروم مع شطاف,1,320.000,0.000,"",320.000,200.000,310014736
cfcb23ac-d83c-1a73-6f02-b159ce750b2d,6553ed57-0d95-f64f-4775-4e661a0015e1,LG40766,حوض وجه برسلين مع رف 80 سم,1,800.000,0.000,"",800.000,550.000,310014737
d8d26044-75a6-3db5-898a-b94b52eeff3e,a6996021-71a9-ad5b-91e1-5f5a0eba9503,ALVM50428,سيفون حوض الوجه كروم,1,245.000,0.000,"",245.000,160.000,310009461
fe99ffd7-d7c3-155e-5788-d61779bd5d12,b7b91f29-b977-6aff-82fc-8f31bdb13528,PE30332,رولة كروسة 10 سم مع فرشة,1,10.000,0.000,"",10.000,3.600,210015542
d5b53089-d5d5-acdd-32a0-fab2a2af5712,935ee50d-e23e-7807-514c-670a607493b1,PE30040,طلاء مائي مطفي  18 كغ,1,110.000,0.000,"",110.000,99.840,210015551
0e9e5456-cc4a-4345-a798-fdbdc686f4c3,83a678b1-7579-1c36-6e46-28c79f52bcda,PE30096,موس فرش 18 مم,1,7.000,0.000,"",7.000,4.500,210015570
772730a8-ed8b-6b66-cd69-af9b38548b99,d36a8672-9e2f-5a60-f057-9a472f095056,PA30046,كيس فارغ أبيض,20,1.000,0.000,"",20.000,0.800,210015576
