code,name,old_stock_table,from_movements,diff
EG40181, رف حوض وجه برسلين 100 سم,3,12.000,9.000
WA40474,غطاء مقعد موطو أبيض,17,26.000,9.000
ARSB80302,شطاف ظغط مربع كبيرمع طوبو كروم,-2,7.000,9.000
LG40180,حوض وجه برسلين 100 سم,3,12.000,9.000
RA20024,"مثلث 25* 1/2"" سن داخلي",147,138.000,-9.000
MDE50676,خلاط دوش مدفون كروم ,8,17.000,9.000
ARSB80235,وصلة مسطرة دوش30سم ,0,9.000,9.000
WA40088,غطاء مقعد موطو أبيض,4,13.000,9.000
SA10650,طقم اكسسوار أسود,25,34.000,9.000
PLSA0270,وردة كروم,2,-7.000,-9.000
ALVM50299,سيفون حوض الوجه كروم,1,10.000,9.000
PA30606,ليفة تنضيف ألمنيوم,-2,-11.000,-9.000
ARSB80214,"مسكر شطافة ""1/2"" * ""1/2 كروم",96,104.000,8.000
LG40178, حوض وجه برسلين مشطوف 80 سم ,0,8.000,8.000
VS10220,عمود حوض وجه سداسي معلق أبيض ,1,9.000,8.000
PLSA0287,وردة ذهبي,5,-3.000,-8.000
ALVM50023,رأس سيفوني كروم,5,13.000,8.000
MC10413,سرفنتينة 15 سم * 15 سم كروم ,22,30.000,8.000
EG40179,رف حوض وجه برسلين 80 سم,0,8.000,8.000
ARSB80166,سماعة دوش كروم,0,8.000,8.000
ARSB80161,شطاف ظغط دائري مع طوبو رصاصي,5,13.000,8.000
RA20023,"مثلث 25"" لحام",42,34.000,-8.000
FAB0177,طلاء وجه زر بتارية,-9,-17.000,-8.000
RFP1427,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",1,9.000,8.000
ARSB80014,كسكاس دوش دائري 250 مم كروم,2,10.000,8.000
ARSB80043,مخرج شطاف كروم,5,13.000,8.000
ALVM50283,رأس سيفوني 1 ''1/4  ''5 كروم,5,13.000,8.000
WS10171,مقعد معلق رايملس أبيض ,1,9.000,8.000
ADOU50043,سيفون حوض قدم,0,-7.000,-7.000
ARSB80165,سماعة دوش مع طوبو كروم,4,11.000,7.000
VS10882,حوض وجه معلق60 سم أبيض,0,7.000,7.000
ARSB80241,كسكاس دوش مربع 200*200 مم كروم,1,8.000,7.000
ALVM50505,مطول سيفون حوض الوجه 40سم كروم,-2,5.000,7.000
ARSB80186,مخرج شطاف كروم,15,22.000,7.000
ARSB80275,كسكاس دوش مربع 250*250 مم مع قصبة كروم,11,18.000,7.000
MDE50823,خلاط دوش مدفون شريحة مربع كروم ,7,14.000,7.000
ALVM50389,رأس سيفوني كروم,8,15.000,7.000
ARSB80363,كسكاس دوش مربع 300*300 مم كروم,4,-3.000,-7.000
AASB30051,موزع صابون سائل كروم,4,11.000,7.000
RO10290,مسكر زاوية  ''1/2 * ''1/2 كروم,0,-7.000,-7.000
RS40222,بلاط ارضيات بورسلين 120 سم * 60 سم (0.360  م²),0,-7.000,-7.000
RA30055, طوبو2'' 6 متر,17,24.000,7.000
ART0003,حوض مطبخ ستانلس ستيل نص منظومة  304 75*45كروم ,30,23.000,-7.000
ATWC50313,صندوق طرد مدفون بتارية مع زر دائري 9 لتر,0,7.000,7.000
ATWC50261, زر بتارية مقعد,18,25.000,7.000
ARSB80298,سماعة دوش مع طوبو كروم,8,15.000,7.000
ALVM50394,رأس سيفوني رخامي,2,9.000,7.000
ALVM50218,مثبت حوض الوجه,3,9.000,6.000
ATWC50180,زر بتريا كروم,0,6.000,6.000
AASB30030,رف ستاينلس ستيل كروم ,0,6.000,6.000
MC10271,مجرى 60 سم *7 سم كروم,6,12.000,6.000
ALVM50808,سيفون حوض الوجه كروم,10,16.000,6.000
AECU50425,سيفون حوض المطبخ,28,22.000,-6.000
ALVM50015,سيفون حوض الوجه كروم,0,6.000,6.000
LG40386, حوض وجه برسلين مع رف 65 سم ,0,-6.000,-6.000
ML30087,مرايا حمام مع إضاءة لد 50*70 سم,-1,5.000,6.000
EL10701,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 كروم,6,12.000,6.000
FAB0179,طلاء قصبة,0,-6.000,-6.000
MC10270,مجرى 50 سم *7 سم كروم,3,9.000,6.000
