code,name,old_stock_table,from_movements,diff
ARSB80139,شطاف ظغط دائري مع طوبو كروم,6,4.000,-2.000
ARSB80163,شطاف ظغط مربع مع طوبو كروم,0,2.000,2.000
LG40388, حوض وجه برسلين مع رف 65 سم ,-2,-4.000,-2.000
PLSA0259,"طابة ""1/2 مع وردة كروم",12,14.000,2.000
ARSB80445,مصب دوش طويل بتحويلة كروم,2,4.000,2.000
EL10017,حوض مطبخ ستانلس ستيل   304 81*51 كروم,-1,1.000,2.000
LG40369, حوض وجه برسلين مشطوف 80 سم ,3,1.000,-2.000
EG40149, رف حوض وجه برسلين 100 سم,0,-2.000,-2.000
WP20166,مقعد أرضي ملحوم بيضوي أبيض,0,2.000,2.000
EG30863,حوض مطبخ جرانيت أبيض مطفي79*51 فردي,12,10.000,-2.000
WS10816,مقعد معلق ملحوم تورنيدو أبيض,34,32.000,-2.000
MA20124,خلاط حوض المطبخ سحاب أسود,0,2.000,2.000
VS10204,حوض وجه معلق أبيض -50سم ,0,2.000,2.000
ALVM50036,رأس سيفوني كروم,0,2.000,2.000
ARSB80190,يد شطاف كروم,0,2.000,2.000
ARSB80155,شطاف ضغط مربع مع طوبو أسود,0,2.000,2.000
MC10192,سرفنتينة 15 سم * 15 سم كروم ,0,-2.000,-2.000
PS20170,علاقة ملابس فردية أسود,0,-2.000,-2.000
WA41059,غطاء مقعد معلق تورنيدو أبيض,0,2.000,2.000
PS20486,علاقة ملابس خماسية,3,5.000,2.000
VS10454,حوض وجه معلق 100 سم,-2,0.000,2.000
MM30026,حنفية حوض المطبخ حائطي كروم,3,5.000,2.000
RFP1779,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",7,9.000,2.000
ME10024,خلاط حوض المطبخ شجرة كروم,1,3.000,2.000
LG40400, حوض وجه برسلين 80 سم ,1,-1.000,-2.000
SA10312,طقم اكسسوار كروم,0,-2.000,-2.000
WP20160,مقعد أرضي ملحوم سداسي مدفع أبيض,0,2.000,2.000
AM40193,مراية دولاب حمام -60 سم ,0,-2.000,-2.000
ML10075,خلاط حوض وجه أسود ,4,6.000,2.000
MD20014,خلاط دوش كروم,0,2.000,2.000
ARSB80149,مصب دوش مع تحويلة كروم,1,-1.000,-2.000
ATWC50246,رجسترو مقعد أرضي مائل 3 سم,22,20.000,-2.000
ALVM50017,سيفون حوض الوجه طويل كروم,0,-2.000,-2.000
AASB30346,فرشة مرحاض كروم,0,-2.000,-2.000
ATWC50178,زر بتريا كروم,3,5.000,2.000
AM0185,حوض وجه مع دولاب حمام -60 سم ,1,-1.000,-2.000
ARSB80356,مصب حوض وجه بدون تحويلة متحرك كروم,7,5.000,-2.000
ML30903,مرايا حمام مع إضاءة لد 60*80 سم,1,3.000,2.000
EG40356,رف حوض وجه برسلين 60 سم,1,3.000,2.000
ARSB80397,قصبة دوش 40 سم أسود,2,4.000,2.000
FAB0100,تصنيع قاعدة برسلين,-2,-4.000,-2.000
RD30306,حوض قدم خزف مربع 70*70 سم,4,2.000,-2.000
ARSB80183,مخرج شطاف ذهبي,5,7.000,2.000
LG40332,حوض وجه برسلين 65 سم,2,4.000,2.000
MDE50821,خلاط دوش مدفون فلفيت أسود ,4,6.000,2.000
SA10313,طقم اكسسوار كروم,0,-2.000,-2.000
MDE50045,خلاط دوش مدفون كروم ,2,4.000,2.000
RFP1402,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",0,2.000,2.000
AB10110,خزانة حمام أبيض ,0,-2.000,-2.000
WA41057,غطاء مقعد معلق تورنيدو أبيض,0,2.000,2.000
AECU50151,سلة تجفيف لحوض المطبخ رصاصي,-1,1.000,2.000
EG40373,رف حوض وجه برسلين 80 سم,0,-2.000,-2.000
EG40370,رف حوض وجه برسلين 80 سم,3,1.000,-2.000
ATWC50098,صندوق بتارية مقعد أرضي,1,-1.000,-2.000
CD40101,مسطرة دوش زوجية كروم,1,3.000,2.000
ALVM50392,رأس سيفوني رخامي,3,5.000,2.000
ML10099,خلاط حوض وجه أسود,0,2.000,2.000
ALVM50402,سيفون حوض الوجه كروم,2,4.000,2.000
LG40147, حوض وجه برسلين 100 سم,0,-2.000,-2.000
ML10300,خلاط حوض وجه  كروم,0,-2.000,-2.000
PS20318,علاقة مناشف كروم,0,-2.000,-2.000
AM0450,دولاب حمام 100 سم,-1,1.000,2.000
ALVM50368,طابة حوض الوجه,1,-1.000,-2.000
PS20169,علاقة ملابس فردي,1,3.000,2.000
MC10088,مجرى 55سم *7 سم كروم,1,3.000,2.000
SI10506,سلكون 260 غرام أبيض,0,2.000,2.000
ARSB80013,كسكاس دوش مربع 250*250 مم كروم,0,2.000,2.000
AM0073,حوض وجه مع دولاب حمام -80 سم,0,2.000,2.000
MD20627,خلاط دوش كروم,8,10.000,2.000
LG40368, حوض وجه برسلين مشطوف 80 سم ,0,-2.000,-2.000
CD40010,مسطرة دوش زوجية كروم,0,-2.000,-2.000
ML10898,خلاط حوض وجه كروم,0,2.000,2.000
ALVM50203,رأس سيفوني رخامي,1,-1.000,-2.000
RFP1373,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 60سم",35,37.000,2.000
LG40361,حوض وجه برسلين 60 سم,1,3.000,2.000
ML10001,خلاط حوض وجه كروم ,5,7.000,2.000
ML10055,خلاط حوض وجه مضيء كروم,0,-1.000,-1.000
PD20125,حاجز دوش 8 مم  مضبب90  سم,0,-1.000,-1.000
ARSB80312,مخرج شطاف كروم,8,9.000,1.000
AM0120,دولاب حمام 100 سم أبيض,0,-1.000,-1.000
ARSB80085,شطاف ظغط دائري مع طوبو كروم,4,5.000,1.000
AB10104,خزانة حمام أبيض ,0,-1.000,-1.000
ML10028,خلاط حوض وجه كروم ,0,1.000,1.000
VS10140,حوض وجه معلق -90 سم,0,1.000,1.000
PD20124,حاجز دوش 8 مم  مضبب80  سم,0,-1.000,-1.000
EG30248,حوض مطبخ جرانيت أبيض محبب 70*50 ,-1,-2.000,-1.000
SI10138,سلكون  280 غرام أبيض التاج,20,21.000,1.000
PS20183,علاقة مناشف كروم,0,1.000,1.000
ARSB80984,"مسكر شطافة ""1/2"" * ""1/2 كروم",2,1.000,-1.000
ARSB80083,شطاف ظغط دائري مع طوبو كروم,7,8.000,1.000
MD20020,خلاط دوش مع سماعة كروم,-1,0,1
ML10301,خلاط حوض وجه  كروم,1,0.000,-1.000
AB10360,خزانة حمام أبيض ,-1,-2.000,-1.000
ARSB80087,شطاف ظغط مربع مع طوبو كروم,0,1.000,1.000
ARSB80300,"مسكر شطافة ""1/2"" * ""1/2 كروم",-2,-1.000,1.000
EG40371,رف حوض وجه برسلين 80 سم,1,0.000,-1.000
PE30471,ورق سنفرة 9بوصة 6فتحات ,200,199.000,-1.000
ML10094,خلاط حوض وجه  كروم,3,4.000,1.000
VS10200,حوض وجه معلق -80 سم,-2,-1.000,1.000
MF20461,مراية حمام 80 سم,0,-1.000,-1.000
ARSB8079,مصب دوش طويل بتحويلة كروم,0,1.000,1.000
ML10822,خلاط حوض وجه أسود,0,1.000,1.000
CD40103,مسطرة دوش زوجية كروم,0,-1.000,-1.000
ML30422,مرايا حمام مع إضاءة لد 80*60 سم,1,0.000,-1.000
ML30105,مرايا حمام مع إضاءة لد 80*60 سم,0,1.000,1.000
WS10481,مقعد معلق رايملس أبيض ,0,1.000,1.000
ALVM50194,رأس سيفوني ذهبي,0,-1.000,-1.000
AM40226,مراية دولاب حمام -70 سم ,2,3.000,1.000
ML10024,خلاط حوض وجه  15 سم كروم ,0,-1.000,-1.000
VS10208,حوض وجه معلق أبيض -60سم,0,-1.000,-1.000
AM0359,حوض وجه  دولاب حمام -80 سم,-1,-2.000,-1.000
RA20468,"سنيسكا 25"" اسود مربع",7,6.000,-1.000
PLSA0219,وردة ذهبي,3,2.000,-1.000
WS10164,مقعد معلق رايملس أبيض ,2,3.000,1.000
AM40044,مراية دولاب حمام لد -80 سم ,1,0.000,-1.000
PLSA0403,وردة كروم,12,13.000,1.000
ARSB80662,مخرج شطاف مع علاق كروم,13,12.000,-1.000
ATWC50244,مثبت مقعد أرضي,17,16.000,-1.000
ML10051,خلاط حوض وجه أسود ,0,1.000,1.000
MC10069,مجرى 40 سم 6* سم ذهبي,0,1.000,1.000
ML10076,خلاط حوض وجه ذهبي ,3,4.000,1.000
PS20142,علاقة مناشف أسود,0,-1.000,-1.000
MC10065,مجرى 30سم *7 سم كروم,0,1.000,1.000
ML30121,مرايا حمام مع إضاءة لد 90 سم,0,-1.000,-1.000
ARSB80066,كسكاس دوش مربع 300*300 مم مع قصبة كروم,0,1.000,1.000
EL10006,حوض مطبخ ستانلس ستيل AS248 50*81,0,1.000,1.000
ARSB80297,سماعة دوش مع طوبو ذهبي,0,1.000,1.000
ML30080,مرايا حمام مع إضاءة لد 80*60 سم,0,-1.000,-1.000
MDE50004,خلاط دوش مدفون مع مصب وقصبة وكسكاس ذهبي,2,3.000,1.000
AASB30102,موزع صابون كروم,0,-1.000,-1.000
MD20300,خلاط دوش أسود,0,1.000,1.000
MLE40153,خلاط حوض وجه مدفون مع مَصَب كروم,1,2.000,1.000
EL10243,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 كروم,5,4.000,-1.000
EL10137,حوض مطبخ ستانلس ستيل   304 70 * 45 سم,2,1.000,-1.000
WA40482,غطاء مقعد أبيض,0,-1.000,-1.000
ME10624,خلاط حوض المطبخ شجرة رصاصي,15,14.000,-1.000
ALVM50021,رأس سيفوني حوض الوجه طويل ذهبي,1,2.000,1.000
CD40095,مسطرة دوش زوجية كروم,0,-1.000,-1.000
EG30770,حوض مطبخ جرانيت أسود  100*50 ,0,-1.000,-1.000
LG40375, حوض وجه برسلين مشطوف 80 سم ,1,0.000,-1.000
PLSA0265,وردة كروم,3,2.000,-1.000
AM0421,حوض وجه مع دولاب حمام -80 سم,1,0.000,-1.000
MT30063,خلاط شطاف مع شطاف كروم ,0,1.000,1.000
MA20021,خلاط حوض المطبخ سحاب ذهبي,0,1.000,1.000
MT30015,خلاط شطاف مع شطاف كروم,0,1.000,1.000
EG40360,رف حوض وجه برسلين 65 سم,4,5.000,1.000
ML10159,خلاط حوض وجه كروم,0,-1.000,-1.000
AECU50134,سيفون حوض المطبخ,1,0.000,-1.000
PS20134,علاقة مناشف متحركة كروم,7,6.000,-1.000
ARSB80360,قصبة دوش 35 سم كروم,1,0.000,-1.000
LG40374, حوض وجه برسلين 80 سم ,2,1.000,-1.000
ML10012,خلاط حوض وجه كروم ,0,-1.000,-1.000
AASB30096,رف زاوية ثلاثي كروم,2,1.000,-1.000
CD40114,مسطرة دوش لاد مع خلاط ذهبي,2,1.000,-1.000
EL10235,حوض مطبخ ستانلس ستيل   304  كروم,0,-1.000,-1.000
MA20018,خلاط حوض المطبخ سحاب كروم,0,-1.000,-1.000
LG40318, حوض وجه برسلين مشطوف 80 سم ,1,2.000,1.000
EG30249,حوض مطبخ جرانيت رصاصي محبب 90*50 ,3,4.000,1.000
AM40361,مراية دولاب حمام -80 سم ,-1,-2.000,-1.000
AECU50057,صابونية حوض مطبخ أسود,19,20.000,1.000
AB10107,خزانة حمام أبيض ,0,-1.000,-1.000
ML10016,خلاط حوض وجه كروم,0,1.000,1.000
PS20006,علاقة مناشف كروم,1,0.000,-1.000
ARSB80826,كسكاس دوش دائري 250 مم مع قصبة كروم,11,12.000,1.000
EG30251,حوض مطبخ جرانيت أسود محبب 70*50 ,0,1.000,1.000
RD30308,حوض قدم مستطيل اكريليك 100*70,0,-1.000,-1.000
ARSB80157,شطاف ظغط دائري مع طوبو كروم,0,1.000,1.000
ALVM50035,سيفون حوض الوجه كروم,1,0,-1
MT30059,خلاط شطاف مع شطاف كروم ,1,0,-1
ART0396,سيفون حوض الوجه كروم,-7,-8.000,-1.000
LG40323,حوض وجه برسلين 65 سم,2,3.000,1.000
MC10310,سرفنتينة 15 سم * 15 سم كروم ,1,0.000,-1.000
ML10382,خلاط حوض وجه  كروم,1,0.000,-1.000
AECU50200,سيفون حوض المطبخ,2,1.000,-1.000
AM0460,دولاب حمام 80 سم,0,-1.000,-1.000
ALVM50055,سيفون حوض الوجه طويل كروم,1,2.000,1.000
AASB30006,موزع صابون كروم,1,0.000,-1.000
LG40081,قاعدة حوض وجه برسلين 90 سم,4,3.000,-1.000
CE10261,سخانة 30 لتر,3,4.000,1.000
MDE50046,خلاط دوش مدفون كروم ,-1,-2.000,-1.000
AM0358,دولاب حمام 80 سم أبيض,-1,-2.000,-1.000
VS10136,حوض وجه معلق -100 سم,0,1.000,1.000
WS10590,مقعد معلق رايملس رصاصي ,10,11.000,1.000
ARSB80174,سماعة دوش مع طوبو كروم,1,2.000,1.000
ARSB80198,مصب دوش مع تحويلة كروم,0,-1.000,-1.000
LG40155, حوض وجه برسلين مشطوف لد 80 سم,2,1.000,-1.000
ALVM50207,رأس سيفوني كروم,0,1.000,1.000
ALVM50139,رأس سيفوني كروم,2,3.000,1.000
ARSB80150,مصب حوض وجه 22 سم كروم,1,2.000,1.000
WP20162,مقعد أرضي ملحوم ذهبي رخامي,24,23.000,-1.000
MT30301,خلاط شطاف أسود ,1,2.000,1.000
ARSB80216,وجه خلاط دوش مدفون,6,7.000,1.000
LG40325, حوض وجه برسلين مشطوف 80 سم ,1,2.000,1.000
ATWC50450,غطاء خزان,0,1.000,1.000
ML30380,مرايا حمام مع إضاءة لد دائرية بالعلاقة مع اطار أسود 60سم,0,-1.000,-1.000
VS10462,حوض وجه معلق 80 سم,1,0,-1
MD20023,خلاط دوش كروم,2,3.000,1.000
EG40358,رف حوض وجه برسلين 65 سم,3,4.000,1.000
EL10003,حوض مطبخ ستانلس ستيل   304  كروم,0,-1.000,-1.000
ARSB80817,شطاف ظغط دائري مع طوبو كروم,0,-1.000,-1.000
ARSB80249,مخرج شطاف مع علاق أسود,0,1.000,1.000
ML30281,مرايا حمام مع إضاءة لد 80*60 سم,12,11.000,-1.000
WS10792,مقعد معلق أبيض,1,0,-1
WP20803,مقعد أرضي أبيض,2,1.000,-1.000
ARSB80030,شطاف ظغط دائري مع طوبو كروم,0,1.000,1.000
EG40375,رف حوض وجه برسلين 80 سم,2,1.000,-1.000
ARSB80381,كسكاس دوش دائري 250 مم كروم,0,-1.000,-1.000
EG40346,رف حوض وجه برسلين 80 سم,1,2.000,1.000
MD20163,خلاط دوش أسود,0,1.000,1.000
MDE50005,خلاط دوش مدفون مع مصب وقصبة وكسكاس برنزي,-1,0,1
WP20179,مقعد أرضي ملحوم ذهبي ,1,2.000,1.000
AASB30176,حاملة فوط أسود,1,0.000,-1.000
VS10186,حوض وجه معلق -100 سم,-1,0,1
VS10202,حوض وجه معلق -60 سم,2,1.000,-1.000
EG30195,حوض مطبخ جرانيت رملي محبب 90*50 ,2,3.000,1.000
RD30309,حوض قدم مستطيل زاوية يسار اكريليك 120*80*14,0,-1.000,-1.000
AB10420,خزانة حمام 120*24*20,1,0.000,-1.000
AM0135,دولاب حمام 100 سم أبيض,0,1.000,1.000
ML10097,خلاط حوض وجه طويل كروم,1,2.000,1.000
AECU50100,سيفون حوض المطبخ,2,1.000,-1.000
RE10004,حنفية حوض المطبخ شجرة كروم,0,1.000,1.000
ARSB80248,مخرج شطاف مع علاق ذهبي,2,3.000,1.000
RFP1780,"فسيبلي خلاط مطبخ شجرة (2طرف) ""1/2أنثى 60سم",0,-1.000,-1.000
PLSA0234,"نبلس ""1/2 * ""1/2 كروم",60,59.000,-1.000
CD40007,مسطرة دوش زوجية ذهبي,-1,0.000,1.000
SA10206,طقم اكسسوار كروم,0,-1.000,-1.000
VS10822,حوض وجه معلق أبيض60,55,54.000,-1.000
ML10008,خلاط حوض وجه أسود,2,1.000,-1.000
WS10596,مقعد معلق رايملس أبيض ,2,3.000,1.000
MD20003,خلاط دوش كروم,-1,-2.000,-1.000
MDE50052,خلاط دوش مدفون ثلاثي كروم,2,3.000,1.000
MC10014,مجرى 60 سم *6 سم كروم,6,5.000,-1.000
MC10066,مجرى 30سم *7 سم كروم,2,3.000,1.000
ARSB80217,وجه خلاط شطاف مدفون كروم,4,5.000,1.000
ARSB80086,شطاف ظغط دائري مع طوبو أسود,0,-1.000,-1.000
ARSB80394,قصبة دوش 28 سم كروم,0,-1.000,-1.000
ALVM50395,رأس سيفوني كروم,0,-1.000,-1.000
ALVM50526,رأس سيفوني كروم,0,1.000,1.000
MTE60050,خلاط شطاف مدفون كروم ,1,0.000,-1.000
ALVM50012,سيفون حوض الوجه ذهبي,2,1.000,-1.000
ML10009,خلاط حوض وجه أسود,1,0.000,-1.000
EL10237,حوض مطبخ ستانلس ستيل   304 50*50 كروم,0,-1.000,-1.000
ML30108,مرايا حمام مع إضاءة لد 80*60 سم,0,-1.000,-1.000
EG40345,رف حوض وجه برسلين 80 سم,1,2.000,1.000
ML30137,مرايا حمام مع إضاءة لد 100*80 سم,0,1.000,1.000
MA20002,خلاط حوض المطبخ سحاب أسود,1,0,-1
ARSB80500,شطاف ظغط مربع مع طوبو كروم,9,8.000,-1.000
ML10030,خلاط حوض وجه طويل 17 سم كروم,0,-1.000,-1.000
ARSB80657,شطاف ظغط مربع مع طوبو كروم,2,3.000,1.000
LG40324,حوض وجه برسلين 65 سم,2,3.000,1.000
RD30307,حوض قدم خزف مربع 80*80 سم,-1,-2.000,-1.000
MTE60032,خلاط شطاف مدفون كروم ,10,11.000,1.000
AECU50056,صابونية حوض مطبخ كروم,6,7.000,1.000
ML30109,مرايا حمام مع إضاءة لد 80*60 سم,0,1.000,1.000
EL10005,حوض مطبخ ستانلس ستيل   304,0,1.000,1.000
EG40082, رف حوض وجه برسلين 90 سم ,5,4.000,-1.000
WS10015,صندوق مقعد معلق أبيض,6,7.000,1.000
ALVM50870,سيفون حوض الوجه كروم,5,6.000,1.000
AASB30778,حاملة ورق ناعم أسود,-2,-3.000,-1.000
ARSB80082,شطاف ظغط مربع مع طوبو كروم,2,1.000,-1.000
AM0106,حوض وجه مع دولاب حمام -80 سم,0,-1.000,-1.000
VS10177,حوض وجه معلق أبيض,0,1.000,1.000
ML10813,خلاط حوض وجه  كروم,0,1.000,1.000
VP20119,حوض وجه فوق الرخام 100 سم أبيض,0,-1.000,-1.000
AM0183,حوض وجه مع دولاب حمام -80 سم,0,1.000,1.000
CC10189,صليبة سن ذكر 100 قطعة,0,1.000,1.000
