id,proforma_id,product_code,product_name,qty,unit_price,line_total
795111c1-4c56-a978-5fee-d06e674dfc07,361f0944-8a01-9b80-6565-83fed8692ab4,ML30795,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,4,180.000,720.000
5a89e19d-7694-8248-4fb8-9f897f4a3164,361f0944-8a01-9b80-6565-83fed8692ab4,VS10201,حوض وجه معلق -80 سم,4,800.000,3200.000
f4f9d123-3167-d203-45cb-ea824f9e8ff8,373c83a5-c16a-cb61-fa89-78cc2da8a80b,MA20126,خلاط حوض المطبخ سحاب كروم,1,280.000,280.000
ed20f97c-133f-2da2-33af-ea31887d284b,90cb4cc1-e32f-4570-9adc-40e677d75358,PD20434,حاجز دوش 10 مم اطار كروم مضبب 80 سم,2,575.000,1150.000
e5b8776c-0955-978a-3451-48aecd948bf7,90cb4cc1-e32f-4570-9adc-40e677d75358,ALVM50011,رأس سيفوني كروم,1,70.000,70.000
638f3b59-6e4e-2f38-2bf9-5b6907d039d6,12deaaec-af73-b633-697e-873058c795ba,RA30002,طوبو1.5'' 6 متر,11,40.000,440.000
3271cd69-d6cd-ce7f-c3ef-11b47c1cc79a,12deaaec-af73-b633-697e-873058c795ba,RA20012,"وصلة 32"" لحام",11,2.200,24.200
d02364ce-32f6-f109-c4b6-d07e092acde7,12deaaec-af73-b633-697e-873058c795ba,ATWC50314,صندوق طرد مدفون بتارية مع زر مربع 9 لتر,8,960.000,7680.000
5e0937bd-57ce-60e4-60b6-bfefad7bfe00,15928a7a-44de-e28b-0083-9e0d31bdff70,VS10207,حوض وجه معلق أسود -60سم,1,400.000,400.000
3a64b269-3d0a-3d42-a28f-9871a56e7c0e,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20001,"كوع 25"" لحام",80,1.250,100.000
dd3c96be-f8c3-bd4e-5f28-8017d5054721,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20023,"مثلث 25"" لحام",40,2.500,100.000
1063eb17-d7f8-b26e-d7c5-5acfa44f54b4,223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,RA20078,صرباص 25,18,2.700,48.600
a477d3cc-a585-e31d-0e38-9333d3d5315b,361f0944-8a01-9b80-6565-83fed8692ab4,ARSB80323,قصبة دوش مربعة 30 سم كروم,4,70.000,280.000
2bd0e880-9938-2fff-4e32-7a00df313937,aefad67c-02db-ff0d-8b22-b5001f9a54ce,RO10494,مسكر زاوية  ''1/2 * ''1/2 كروم,200,55.000,11000.000
f98745c9-6e36-1496-789d-ef8a470d2f85,d1f60bc2-1e73-3872-da6a-7e66c4a37808,RA30045,"مجمع 3"" 2"" 1.5"" 2""",6,57.000,342.000
1f9f231f-6b9e-3c43-9bb6-8cc5655f5f7d,d1f60bc2-1e73-3872-da6a-7e66c4a37808,RA30016,"كوربة 2"" - 45°",10,13.000,130.000
48fba946-8985-17ca-0916-5e46a1f619c0,d1f60bc2-1e73-3872-da6a-7e66c4a37808,RA30055,طوبو2'' 6 متر,2,96.000,192.000
7cfad5fd-6f50-370e-5bb4-4f81f52b6a5f,ce429a4e-df50-e876-e591-cf2774066000,MDE50807,خلاط دوش مدفون ميريدا أسود,4,960.000,3840.000
efd87217-7f67-8dad-b6b6-14460a6213cb,361f0944-8a01-9b80-6565-83fed8692ab4,ARSB80287,مخرج شطاف مع علاق كروم,4,120.000,480.000
881a2e0b-e8df-9379-7ae9-e2fbd7484134,361f0944-8a01-9b80-6565-83fed8692ab4,ARSB80351,شطاف ظغط دائرية مع طوبو كروم,4,160.000,640.000
e021e66b-a623-2fb6-f073-fe94d09e5f2b,361f0944-8a01-9b80-6565-83fed8692ab4,ALVM50031,سيفون حوض الوجه كروم,4,160.000,640.000
da8a61aa-bdab-ef8c-1b50-c342f3982715,361f0944-8a01-9b80-6565-83fed8692ab4,ARSB80640,"مسكر شطافة ""1/2"" * ""1/2 كروم",16,25.000,400.000
27e441ee-47db-bc79-ede5-bac3979aad4c,361f0944-8a01-9b80-6565-83fed8692ab4,PLSA0404,وردة كروم,16,12.000,192.000
