Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
AASB30037,مجفف شعر ذهبي,جي اف مارك,889WK,170.0,110.0
ART0020,شطاف ظغط مع طوبو كروم,فينوس,AHF01,120.0,76.0
AECU50150,سلة تجفيف لحوض المطبخ أسود,سانيتاري ويرز,,40.0,21.0
RD30054,حوض قدم مربع اكريليك 90*90*14,ساناكريل,M303,850.0,532.056
CD40007,مسطرة دوش زوجية ذهبي,سانيتاري ويرز,10200,310.0,200.0
RO10107,مسكر زاوية ''1/2 * ''1/2 كروم,فيوري,,20.0,15.0
FAB0178,طلاء وجه مسكر بي بي ار,الشركة العالمية للتصدير و الإستيراد,,100.0,50.0
SC10167,بوكس مربع 190*120*90 سم كروم,تركي,,1080.0,684.072
LG40195,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,A2080C,750.0,450.0
PE30211,غيار روله صينيه 10سم,الشركة العالمية للتصدير و الإستيراد,2100,3.0,0.55
ML30298,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,,200.0,120.0
AM0358,دولاب حمام 80 سم أبيض,سانيتاري ويرز,8112,500.0,230.0
AM0359,حوض وجه دولاب حمام -80 سم,سانيتاري ويرز,8110,500.0,300.0
AB10360,خزانة حمام أبيض,سانيتاري ويرز,8110,400.0,280.0
AM40361,مراية دولاب حمام -80 سم,سانيتاري ويرز,8110,250.0,175.0
EL10721,حوض مطبخ ستانلس ستيل 304 أسود 65 * 45 سم,أسيل,AS3468,720.0,480.0
PE30423,شيمة جبس,سرسانيت,,20.0,10.0
MA20122,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,,450.0,208.0
RO10294,حنفية غسالة ''1/2 * ''3/4 كروم,أركو,L.85,40.0,30.5
LG40336,حوض وجه برسلين 100 سم,رويال,YB032_6,450.0,310.0
MDE50005,خلاط دوش مدفون مع مصب وقصبة وكسكاس برنزي,فرامو,PA211BRO,2370.0,1975.0
MD20013,خلاط دوش كروم,توريما,8G16211-040,530.0,345.0
MD20020,خلاط دوش مع سماعة كروم,فرامو,SM202CR,450.0,335.0
ML10095,خلاط حوض وجه كروم,نابولي,Z-7033N,120.0,69.5
AASB30114,رف زاوية زوجي كروم,سانيتاري ويرز,1162-2,60.0,45.0
AECU50151,سلة تجفيف لحوض المطبخ رصاصي,سانيتاري ويرز,,40.0,21.0
ML30087,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,GAK77,140.0,65.0
CD40050,مسطرة دوش زوجية كروم,سانيتاري ويرز,DOUS,200.0,120.0
RD30242,حوض قدم اكريليك 80*80 مربع بالجنب بالسيفوني,سانيتاري ويرز,TK 813,250.0,140.0
ML30753,مرايا حمام مع إضاءة لد مع بخاراطار ذهبي 70سم,KBM,55B,250.0,160.0
CD40782,مسطرة دوش زوجية اسود,سانيتاري ويرز,NOVA 859154,160.0,91.0
PD20785,حاجز دوش6مم اطار كروم 70 سم,سانيتاري ويرز,,525.0,350.0
ART0200,سيفون حوض المطبخ,سي أر سمارت,MARYPLAST,40.0,16.5
MD20435,خلاط دوش كروم,تركارت,TERRA,310.0,202.12
WA40482,غطاء مقعد أبيض,ب.أمور,SC-SH-030,100.0,50.0
ML30536,مرايا حمام دائرية مع إضاءة لد 80*80 سم,سانيتاري ويرز,114120,170.0,88.0
RO10548,مسكر زاوية ''1/2 * ''1/2 من غير مطول كروم,مونتانا س.ل,MT-6102,30.0,17.65
FAB0559,تصنيع حوض مع قاعدة برسلين,الشركة العالمية للتصدير و الإستيراد,,1500.0,1350.0
