Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
ALVM50207,رأس سيفوني كروم,دانيال,A735,175.0,125.0
ARSB80208,قصبة دوش مربعة 40 سم كروم,سانيتاري ويرز,,65.0,37.0
ART0045,طلاء عاز ل مطاطي اخضر 10 كغ,الواحة,العازل اكسترا,125.0,106.7
SA10046,طقم اكسسوار كروم,ام سي بولو,AF-19108-14,180.0,85.0
PE30153,غيار موس فرش 0.5 مم,الشركة العالمية للتصدير و الإستيراد,,5.0,2.0
PD20049,حاجز دوش 90 * 190 سم 8مم أسود,تركي,SDB-03,1120.0,703.148
PD20050,حاجز دوش 100 * 180 سم 8مم أسود,تركي,SDB-16,870.0,541.557
BAI10051,حوض استحمام بانيو 120*80*53 سم,ساناكريل,A281,1500.0,1049.861
SC10052,بوكس مستطيل 120*80 *148 سم كروم,تركي,,1080.0,679.322
SC10053,بوكس مربع 190*90 *90 سم كروم,تركي,,1080.0,684.072
ARSB81001,شطاف ضغط مربع مع طوبو ذهبي,سانيتاري ويرز,NONAS,110.0,49.0
PA30018,مفتاح بيبة رقم12مم,الشركة العالمية للتصدير و الإستيراد,AC18693,10.0,4.5
PA30060,بونته تخليط 60ملي,الشركة العالمية للتصدير و الإستيراد,,15.0,8.5
PE30076,لصقة دبل فيس 5 سم,الشركة العالمية للتصدير و الإستيراد,,10.0,5.5
ALVM50058,سيفون حوض الوجه كروم,سوبال,1908A04,230.0,165.0
MC10060,مجرى 40 سم *7 سم كروم,الشركة التونسية للمواد الصحية,IRIS+,70.0,44.0
MC10068,مجرى 30 سم *6 سم دهبي,راف,1372-DRAINER-007,320.0,210.0
MC10069,مجرى 40 سم 6* سم ذهبي,راف,1372-DRAINER-008,350.0,215.0
MC10070,مجرى 30 سم *6 سم أسود,جي اف مارك,8034X,355.0,80.0
MC10071,مجرى 30 سم *6 سم دهبي,جي اف مارك,8034G,350.0,230.0
ARSB80239,كسكاس دوش دائري 250 مم مع قصبة كروم,توريما,1372-BRACSOFF-001,360.0,235.0
MC10077,سرفنتينة 10 سم * 10 سم كروم,فيرمر,YLN7131-10,25.0,10.5
MC10078,سرفنتينة 15 سم * 15 سم كروم,فيرمر,YLN7132-15,50.0,23.5
MC10081,سرفنتينة 15 سم * 15 سم اسود,بيورا,FD-GB-GOLD,125.0,90.0
ML10069,خلاط حوض وجه كروم,رايمر,EY1252,400.0,300.0
MC10099,مجرى 65سم *7 سم كروم,بيورا,DL-07-65,350.0,266.5
CD40010,مسطرة دوش زوجية كروم,ازورا ربنتري,,120.0,75.0
CD40003,مسطرة دوش زوجية مربعة كروم,سانيتاري ويرز,10149,240.0,145.0
CD40004,مسطرة دوش زوجية مربعة كروم,سانيتاري ويرز,10130,200.0,125.0
ARSB80280,مخرج شطاف ذهبي,توريما,991,500.0,270.0
ARSB80870,مصب دوش ذهبي,دانيال,15.17.2,750.0,500.0
ML30071,مرايا حمام مع إضاءة لد مع بخار 60 اطار ذهبي,سانيتاري ويرز,L320,350.0,225.0
AB10072,خزانة حمام أبيض,سانيتاري ويرز,2151,400.0,280.0
AM0073,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,2151,1000.0,600.0
ML30074,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,2151,250.0,100.0
ML30080,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,115180,160.0,85.0
CD40005,مسطرة دوش زوجية مربعة كروم,سانيتاري ويرز,3550 PATTI,180.0,85.0
ML30081,مرايا حمام مع إضاءة لد 60*80 سم,سانيتاري ويرز,121150,160.0,85.0
WS10083,مقعد معلق رايملس أبيض,GALASSIA,5486,1750.0,1195.0
EL10084,حوض مطبخ ستانلس ستيل 304 60* 45 سم,ليسو,,220.0,138.0
ML30085,مرايا حمام مع إضاءة لد 60*60 سم,سانيتاري ويرز,GAK57,150.0,75.0
CD40009,مسطرة دوش زوجية كروم,بضائع أوروبية,,550.0,370.0
ML30088,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,GAK11,140.0,65.0
ML30089,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,GAK5,140.0,65.0
CD40011,مسطرة دوش زوجية كروم,سانيتاري ويرز,BEST,160.0,98.0
CD40013,مسطرة دوش فرديه كروم,تركي,EZ-1965,140.0,85.0
ML30091,مرايا حمام مع إضاءة لد مع اطار كروم 80*60 سم,سانيتاري ويرز,2-8866,200.0,125.0
CD40014,مسطرة دوش فرديه كروم,كورنات,ARIELLI,150.0,95.0
AM0092,دولاب حمام حوض مع مرايا لد -90 سم,سانيتاري ويرز,9211,1400.0,1295.0
ARSB80238,طوبو شطاف 120 سم كروم,بضائع أوروبية,ENS2001120C,60.0,38.0
ARSB80235,وصلة مسطرة دوش30سم,فينوس,,25.0,8.5
ARSB80234,طوبو شطاف 120 سم كروم,بضائع أوروبية,01514-000 INIFLEX,30.0,11.5
ARSB80232,طوبو شطاف 120 سم ذهبي,سانيتاري ويرز,,30.0,10.0
ARSB80400,مصب دوش مع تحويلة كروم,سانيتاري ويرز,EZ-3065,150.0,97.75
ARSB80401,مخرج شطاف مع علاق كروم,أنكا,ANKA ANK-1015,75.0,59.0
AASB30220,موزع صابون ابيض,فينوس,SD14W,50.0,26.0
EG30093,حوض مطبخ جرانيت رملي محبب 70*50,سانيبال,رودا,450.0,291.0
CD40115,مسطرة دوش لاد مع خلاط أسود,سانيتاري ويرز,PURE,620.0,425.0
CC10094,كولة بلاط أرضيات 20 كغ,ميولكة,POLPO P320 C1,15.0,12.5
EL50099,لامبة لد 20 وات,دي بي اس,E27,8.0,4.75
PE30796,طلاء مائي مطفي 4 كغ,الواحة,الواحة لاتاكس,30.0,14.4
LG40102,حوض وجه برسلين 65 سم,رويال,YB036_6,600.0,400.0
EG40103,رف حوض وجه برسلين 65 سم,رويال,YB036_6,150.0,40.0
LG40107,حوض وجه برسلين مع رف 80 سم,رويال,YB03_3,650.0,460.0
MTE60109,خلاط شطاف مدفون أسود,توريما,BB000-090,360.0,245.0
VS10112,حوض وجه معلق -80 سم,تركواز سيراستايل,BLUE,460.0,310.0
VS10121,حوض وجه معلق -100 سم,تركواز سيراستايل,SHARP,1300.0,585.0
CE10105,سخانة 50 لتر,ناسو,,410.0,380.0
CE10106,سخانة 80 لتر,ناسو,,420.0,395.0
WS10128,مقعد معلق رايملس أبيض,نيوأرك,3823,550.0,425.0
ML30129,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,ML-22,140.0,87.0
ELC1108,مطول كهرباء 4مدخل 3متر,الشركة العالمية للتصدير و الإستيراد,,65.0,49.5
ELC1110,مطول كهرباء 3مدخل 5متر,كونزا,,50.0,41.5
EL50114,برتولامبه بدون تامينه,دي بي اس,,2.0,1.25
ML30132,مرايا حمام مع إضاءة لد80*60 سم,سانيتاري ويرز,DIO-15-3,150.0,80.0
RO10116,مسكر زاوية ''1/2 * ''1/2 كروم,سانيتاري ويرز,METC,20.0,12.5
PE30128,بونتة صاروخ طاسة,اي بي سي,45,75.0,50.0
ML30134,مرايا حمام مع إضاءة لد 80*60 سم,كاي بي ام,,125.0,77.6
AM0135,دولاب حمام 100 سم أبيض,سانيتاري ويرز,9048,910.0,600.0
VS10136,حوض وجه معلق -100 سم,سانيتاري واير,9048,560.0,300.0
ML30137,مرايا حمام مع إضاءة لد 100*80 سم,سانيتاري ويرز,9048,350.0,195.0
AM0138,دولاب حمام 100 سم مع حوض و مرآة أبيض,سانيتاري ويرز,9048,1650.0,1095.0
AMEV50119,رقبه خلاط مطبخ,سانيتاري ويرز,,20.0,7.5
AM0139,حوض وجه مع دولاب حمام مع مرآة -80 سم,سانيتاري ويرز,5025,1550.0,0.0
AB10142,خزانة حمام أبيض,سانيتاري ويرز,EKOSE WHITE,300.0,189.17
AB10143,خزانة حمام أسود,سانيتاري ويرز,BLACK,300.0,200.0
LG40121,حوض وجه برسلين مشطوف مع رف 80 سم,سانيتاري واير,M006,700.0,500.0
AB10146,خزانة حمام خشبي,أوركا,RICATO,780.0,580.0
VS10149,حوض وجه معلق مع عمود-43 سم,سانيتاري ويرز,DROP,150.0,95.0
VS10150,حوض وجه معلق مع عمود أبيض -45*35سم,سانيتاري ويرز,FEBIA,130.0,75.0
VP20151,حوض وجه فوق الرخام أبيض -35سم,سانيتاري ويرز,PRIMA,220.0,145.0
VE30153,حوض وجه تحت الرخام أبيض -50سم,ايجا فتريفاي,PINARA 91561,200.0,121.0
VS10155,حوض وجه معلق -65 سم,تركواز سيراستايل,ARTE,325.0,206.0
VS10156,حوض وجه معلق 85 سم,تركواز سيراستايل,PORTO,450.0,310.0
VS10157,حوض وجه معلق -60 سم,سانيتاري ويرز,MULIN,200.0,105.0
VS10158,حوض وجه معلق -65 سم,سانيتاري ويرز,MEGA,260.0,195.0
VS10159,حوض وجه معلق مع عمود -65 سم,سانيتاري ويرز,MEGA,260.0,195.0
AM0161,دولاب حمام 80 سم,بضائع أوروبية,,600.0,200.0
VP20162,حوض وجه فوق الرخام أبيض,بضائع أوروبية,,160.0,100.0
VP20163,حوض وجه فوق الرخام رخامي,بضائع أوروبية,,250.0,150.0
AASB30165,رف زاوية زوجي اسود,بضائع أوروبية,BAD-3636,90.0,30.0
AASB30666,حاملة ورق ناعم أسود,بضائع أوروبية,,60.0,10.0
ARSB82022,شطاف ظغط دائري مع طوبو كروم,توريما,0332911-T40,150.0,88.0
ARSB80992,كسكاس دوش مربع 250*250 مم مع قصبة دهبي,توريما,1372-BRACSOFF-010,800.0,535.0
ML10169,خلاط حوض وجه 12 سم كروم,شيزا,ROBIN,270.0,165.0
ARSB80998,كسكاس دوش مربع 200*200 مم كروم,بضائع أوروبية,OB03M20Q-CR,150.0,95.0
ARSB80996,كسكاس دوش دائري 250 مم كروم,سانيتاري ويرز,WL30,65.0,39.0
ARSB80287,مخرج شطاف مع علاق كروم,سانيتاري ويرز,LUSSO 5-133,90.0,53.0
CD40170,مسطرة دوش زوجية كروم,بضائع أوروبية,,640.0,450.0
ARSB82122,كسكاس دوش دائري 250*250 مم مع قصبة اسود,ليمكس,LY2677R,300.0,185.0
FAB0179,طلاء قصبة,الشركة العالمية للتصدير و الإستيراد,,100.0,60.0
CD40181,مسطرة دوش زوجية كروم,,,200.0,130.0
ABAG50185,سيفون حوض استحمام بانيو,تركي,,70.0,35.0
CC10189,صليبة سن ذكر 100 قطعة,الشركة العالمية للتصدير و الإستيراد,,20.0,8.5
ARSB80290,"مسكر شطافة ""1/2"" * ""1/2 اسود",سانيتاري ويرز,FIDAR,35.0,16.0
ARSB80291,"مسكر شطافة ""1/2"" * ""1/2 كروم",سانيتاري ويرز,I.DOWAS,30.0,15.0
ARSB80295,"مسكر شطافة ""1/2"" * ""1/2 كروم",سانيتاري ويرز,ARB,60.0,38.0
ARSB80299,"مسكر شطافة ""1/2"" * ""1/2 كروم",ام سي بولو,MAV30102,25.0,13.75
ARSB80301,"مسكر شطافة ""1/2"" * ""1/2 كروم",سانيتاري ويرز,MEDA BRIO,20.0,11.0
RO10198,حنفية 1/2,سانيتاري ويرز,BUGATTI,35.0,19.679
AASB30201,أرضية دوش 54×54 سم,بضائع أوروبية,,55.0,33.75
ARSB80211,شطاف ظغط مع طوبو مع مخرج كروم,PAINI,51CR133IG,320.0,207.0
ARSB80252,شطاف ظغط مع طوبو مع مخرج كروم,PAINI,51CR133IG2,200.0,108.0
ML10212,خلاط حوض وجه كروم,PAINI,LE MANS 90CR205,270.0,180.0
ML10213,خلاط حوض وجه كروم,PAINI,DAXR SMALL 84CR205LRS,380.0,252.0
AASB30214,صابونية أسود,سانيتاري ويرز,CAPELLA,85.0,60.0
AASB30216,حاملة فرشاة أسنان أسود,ديكسا,CAPELLA,100.0,60.0
AASB30217,حاملة فوط أسود,سانيتاري ويرز,CAPELLA,85.0,65.0
VP20123,حوض وجه دائري حوض فوق الرخام - 55سم,تركواز سيراستايل,ONE,1000.0,700.0
RS40222,بلاط ارضيات بورسلين 120 سم * 60 سم (0.360 م²),سانيتاري ويرز,,50.0,36.0
CE10223,سخانة 15 لتر,تيسي,COMPACT 15,570.0,400.0
CE10225,سخانة 80 لتر أفقية,تيسي,HORIZONTAL-TESY-80,1150.0,955.0
PLSA0238,وردة كروم 1/2,MYVEN,ITALY,3.0,0.82
MC10126,غطاء غرفة تفتيش 60*60مخفي SUS304,بيورا,,540.0,430.0
MC10127,غطاء غرفة تفتيش 70*70مخفي SUS304,بيورا,,690.0,550.0
PLSA0239,"وصلة مخفض خلاط دوش ""3/8 ذكر × ""1/2 انثى كروم",سانيتاري ويرز,,10.0,2.25
RA20128,مثلث كروم سن داخلي 1/2,سانيتاري ويرز,,15.0,8.75
MT30009,خلاط شطاف مع شطاف كروم,سانيتاري ويرز,GROHE,180.0,115.0
CD40234,مسطرة دوش زوجية مربعة كروم,سانيتاري ويرز,,210.0,150.0
AECU50236,رقبة خلاط حوض مطبخ,سانيتاري ويرز,,25.0,9.25
MT30240,خلاط شطاف مع شطاف كروم,رايمر,ENERGY EYC31DP,450.0,305.0
ARSB80741,مصب دوش بدون تحويلة أسود,فرامو,HO-245,420.0,300.0
PE30895,لصقة مع مجفف 400 مل,سانيتاري واير,,20.0,13.5
EG30241,حوض مطبخ جرانيت أسود محبب 55*44,سانيتاري ويرز,جرمة,370.0,225.0
WP20752,مقعد فرنجي أرضي أبيض,BOZFIT,5430-5330,400.0,260.0
SA10758,طقم اكسسوار كروم,سانيتاري ويرز,2674,170.0,75.0
ML10761,خلاط حوض وجه كروم,توريما,BR73111-093,450.0,255.0
EL10768,حوض مطبخ ستانلس ستيل 70*45 كروم,بريمكس,EC 20,550.0,275.0
EL10769,حوض مطبخ ستانلس ستيل 60*45 أسود,بريمكس,EC 04,500.0,265.0
ML10139,خلاط حوض وجه كروم,فيوري,124CR3460,390.0,270.0
EG30770,حوض مطبخ جرانيت أسود 100*50,بلانكو,,550.0,350.0
WA40772,غطاء مقعد أبيض,سانيتاري ويرز,IDEAL,120.0,70.0
AASB30773,حامل كلينكس مع فرشاة تنظيف المراحيض,سانيتاري ويرز,WENKO,140.0,90.0
WA40775,غطاء مقعد أبيض,سانيتاري ويرز,,220.0,145.0
EL10143,حوض مطبخ ستانلس ستيل 70*45 أسود,سانيتاري ويرز,,300.0,159.5
EL10144,حوض مطبخ ستانلس ستيل 80*50 أسود,سانيتاري ويرز,,400.0,255.0
EL10145,حوض مطبخ ستانلس ستيل 60*45 أسود,سانيتاري ويرز,,300.0,135.0
EL10146,حوض مطبخ ستانلس ستيل 50*40 أسود,سانيتاري ويرز,,300.0,135.0
MA20147,خلاط حوض المطبخ سحاب أسود,سانيتاري ويرز,1002,150.0,95.5
MA20148,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,1001,200.0,99.5
MT30149,خلاط شطاف مع شطاف ذهبي,سانيتاري ويرز,3003,130.0,97.5
RO10159,مسكر زاوية ''1/2 * ''1/2 ذهبي,فاردر,,30.0,14.5
CD40160,مسطرة دوش لاد مع خلاط ذهبي,سانيتاري ويرز,AH35-2,570.0,385.0
RFP1780,"فسيبلي خلاط مطبخ شجرة (2طرف) ""1/2أنثى 60سم",فيرمر,,30.0,13.75
CD40781,مسطرة دوش زوجية اسود,ليفرنو هوم,452820,230.0,130.0
BAI10165,حوض استحمام بانيو 180*80*53 سم,ساناكريل,A116,2500.0,1835.0
LG40788,طقم حوض وجه مع دولاب حمام - 80سم,سانيتاري ويرز,2151,1550.0,345.0
AASB30789,صابونية كروم,سانيتاري ويرز,,50.0,35.0
AASB30801,مجفف يد أبيض,فينوس,HD-600,220.0,145.0
ARSB80195,كسكاس دوش دائري 250 مم مع قصبة كروم,توريما,1372-BRACSOFF-002,360.0,240.0
ARSB80806,شطاف ضغط دائري مع طوبو أسود,فوكس,VX-02B,110.0,61.0
CD40808,مسطرة دوش زوجية كروم,فينوس,TOP3303,350.0,221.625
ARSB80490,كسكاس دوش مربع 250*250 مم كروم,ليسو,SIZE-10,120.0,65.0
PE30175,استوك 18 كغ,دهانات البحر المتوسط,دهانات البحر المتوسط,45.0,41.85
PE30176,طلاء مائي داخلي 18 كغ أبيض,دهانات البحر المتوسط,دهانات البحر المتوسط,60.0,55.7
PE30196,طلاء عاز ل مطاطي اكسترا 11كغ,دهانات البحر المتوسط,دهانات البحر المتوسط,130.0,121.0
ME10810,خلاط حوض المطبخ شجرة كروم,أيولي,QUICK 4646,300.0,187.5
ML10170,خلاط حوض وجه كروم,فيرونا,VE20310,120.0,73.0
ME10171,خلاط حوض المطبخ,فيرونا,VE56470,140.0,70.0
ME10455,خلاط حوض المطبخ شجرة كروم,شهاب,SORINA,250.0,165.0
ME10456,خلاط حوض المطبخ شجرة كروم,شهاب,NEW MARJAN,250.0,160.0
ML10813,خلاط حوض وجه كروم,شهاب,ARIO,250.0,165.0
ME10457,خلاط حوض المطبخ شجرة كروم,شهاب,ARIO,280.0,150.0
LG40174,حوض وجه برسلين مشطوف 80 سم,ليسو,C2080C,600.0,400.0
EG40175,رف حوض وجه برسلين 80 سم,ليسو,C2080C,350.0,185.0
LG40178,حوض وجه برسلين مشطوف 80 سم,ليسو,C2080A,600.0,400.0
EG40179,رف حوض وجه برسلين 80 سم,ليسو,C2080A,350.0,185.0
LG40183,حوض وجه برسلين مشطوف 80 سم,ليسو,A2080B,600.0,300.0
LG40185,حوض وجه برسلين مشطوف 80 سم,ليسو,A2080A,600.0,300.0
EG40186,رف حوض وجه برسلين 80 سم,ليسو,A2080A,350.0,150.0
LG40191,حوض وجه برسلين مع رف 100 سم,ليسو,B20100,1050.0,680.0
LG40192,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,C2080D,750.0,585.0
LG40193,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,A2080B,750.0,450.0
LG40194,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,C2080A,750.0,585.0
LG40196,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,3080,750.0,580.0
LG40197,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,C2080C,750.0,585.0
LG40198,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,A2080D,750.0,450.0
LG40199,حوض وجه برسلين مشطوف مع رف 80 سم,ليسو,A2080A,750.0,450.0
EL10818,حوض مطبخ ستانلس ستيل منظومة دائري بيانو 304 75*46 أسود,سانيتاري ويرز,,1050.0,580.0
PSB10826,حوض وجه مع دولاب حمام مع مراية مضيئة -80 سم,سانيتاري ويرز,9142,1170.0,780.0
ALVM50821,رأس سيفوني كروم,بضائع أوروبية,SASSI ART 702,150.0,95.0
VS10823,حوض وجه معلق 80 سم,سانيتاري ويرز,9142,400.0,250.0
AM0824,دولاب حمام 80 سم أبيض,سانيتاري ويرز,9142,450.0,300.0
AM40825,مراية دولاب حمام لد -80 سم,سانيتاري ويرز,9142,200.0,100.0
AB10826,خزانة حمام 80*24*12,سانيتاري ويرز,9142,250.0,130.0
VS10827,حوض وجه معلق -80 * 45 سم,تركي,70C80,480.0,320.0
FAB0828,طلاء أكسسوارات باب,الشركة العالمية للتصدير و الإستيراد,,90.0,50.0
WP20397,مقعد عربي ورده أبيض45*60,سانيتاري ويرز,IDEVIT 0705-0008,260.0,190.0
ARSB80406,مصب دوش بدون تحويلة متحرك ذهبي,ليمكس,LY-2728,300.0,220.0
ARSB80450,سماعة دوش مع طوبواسود,مونتانا س.ل,MT-4101B,250.0,150.0
ARSB80452,سماعة دوش مع طوبو كروم,توريما,0140311-40,180.0,90.0
SA10202,طقم اكسسوار أسود,سانيتاري ويرز,1142-5,300.0,195.0
RFP1402,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",سانيتاري ويرز,ايطالي,120.0,75.0
CE10204,سخانة 80 لتر,Thermex,,1250.0,730.0
PS20207,علاقة مناشف,سانيتاري ويرز,5-133,120.0,55.0
ML30209,مرايا حمام مع إضاءة لد 100*70 سم,سانيتاري ويرز,684,200.0,125.0
PE30210,غيار روله ديكور,الشركة العالمية للتصدير و الإستيراد,2100,10.0,2.75
ARSB80223,"مسكر شطافة ""1/2"" * ""1/2 كروم",رايمر,1291212,55.0,26.5
PD20404,حاجز دوش 8 مم مضبب80 سم,ليسو,AKD,500.0,395.0
ARSB80225,"مسكر شطافة ""1/2"" * ""1/2 كروم",سانيتاري ويرز,FIRMER YLN8872,35.0,22.0
PE30215,شفاط ابيض,ABM,L20,160.0,65.5
ARSB80407,شطاف ظغط دائري مع طوبو كروم,I.DOWAS,1114ZC,110.0,40.0
AB10220,خزانة حمام,سانيتاري واير,,450.0,370.0
ARSB80416,وجه خلاط دوش مدفون,المتوسطية,,55.0,30.0
MT30417,خلاط شطاف مع شطاف كروم,ليمكس,2439,300.0,200.0
ML30221,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,3075,200.0,120.0
ML30223,مرايا حمام مع إضاءة لد اطار اسود,سانيتاري ويرز,3070A,200.0,120.0
ML30224,مرايا حمام مع إضاءة لد 80*60سم,سانيتاري ويرز,3067,200.0,115.0
ML30225,مرايا حمام مع إضاءة لد 60*80سم,سانيتاري ويرز,3072,180.0,85.0
ML30226,مرايا حمام مع إضاءة لد 60*80سم,سانيتاري ويرز,3068,180.0,85.0
ML30227,مرايا حمام مع إضاءة لد 90*80سم,سانيتاري ويرز,3063,240.0,135.0
ML30228,مرايا حمام مع إضاءة لد 100*80 سم,سانيتاري ويرز,3061,260.0,145.0
ML30229,مرايا حمام مع إضاءة لد 70*70سم,سانيتاري ويرز,3077,200.0,100.0
ML30230,مرايا حمام مع إضاءة لد 60*80سم اطار كروم,سانيتاري ويرز,3060,220.0,120.0
ML30231,مرايا حمام مع إضاءة لد 80*60سم,سانيتاري ويرز,3073,180.0,85.0
MC10421,سرفنتينة ثقيلة 15 سم * 15 سم كروم,أكوا دزاين,AD151RS/4,140.0,70.0
ARSB80427,سماعة دوش مع طوبو ذهبي,مونتانا س.ل,MT-4101G,250.0,150.0
ARSB80600,مصب دوش بدون تحويلة كروم,أنكا,ANKA ANK-1012,100.0,77.0
ARSB80433,مخرج شطاف مع علاق كروم,مونتانا س.ل,MT-01,135.0,88.0
WS10431,مقعد معلق رايملس أبيض,ديولو,4847,550.0,335.0
MA20441,خلاط حوض المطبخ سحاب كروم,تركارت,TURKUAZ,390.0,257.95
MD20438,خلاط دوش كروم,تركارت,KRIPTO,310.0,198.27
ML10440,خلاط حوض وجه 20 سم كروم,تركارت,KRIPTO,270.0,177.0
SA10232,طقم اكسسوار كروم,سانيتاري ويرز,HW-202,220.0,125.0
SA10234,طقم اكسسوار اسود,سانيتاري ويرز,HW-201,260.0,145.0
CD40237,مسطرة دوش مع خلاط اسود,ا بي ام انترناشونال,2007,650.0,435.0
ML10244,خلاط حوض وجه كروم,توريما,CHROME-8C33011-093,400.0,260.0
ARSB80882,وجه خلاط شطاف مدفون كروم,رايمر,,180.0,45.0
CD40449,مسطرة دوش زوجية كروم,كوتارا,TPS-621,220.0,135.0
ATWC50450,غطاء خزان,اديال سانيتار,,60.0,30.0
CE10452,سخانة فورية مربعة,شارب,RYK-001,330.0,215.0
MD20453,خلاط دوش كروم,شهاب,NEW MARJAN,240.0,155.0
SA10459,طقم اكسسوار كروم,ديولو,5-60-45,240.0,160.0
ARSB80466,قصبة دوش مربعة 40 سم كروم,ديولو,33-45-2250,45.0,24.0
CD40467,مسطرة دوش زوجية كروم,I.DOWAS,S01,150.0,100.0
WS10481,مقعد معلق رايملس أبيض,ب.أمور,SH-030,600.0,355.0
VS10177,حوض وجه معلق أبيض,ب.أمور,SH-P131,440.0,260.0
ARSB80485,شطاف ظغط مربع مع طوبو ذهبي,تركي,GPD,290.0,190.0
CD40254,مسطرة دوش زوجية كروم,نيو,NUT-05XM,450.0,320.0
PE30246,فوم 750 غرام,ابل,PF312,20.0,13.25
PE30286,لصقة مع مجفف 400 مل,كرفت,,20.0,11.75
PE30296,لصقة مع مجفف 100 مل,كرفت,,10.0,5.75
SA10256,طقم اكسسوار كروم,بريمكس,Y6-9300,350.0,195.0
SA10257,طقم اكسسوار أسود,بريمكس,X6-9300,400.0,192.0
ARSB80480,مصب دوش مع تحويلة كروم,فينوس,RACHEL D1ES,180.0,86.68
AASB35261,مجفف شعر أسود,بريمكس,882X,170.0,86.68
PS20487,علاقة ملابس رباعية,سانيتاري ويرز,JR031-4,150.0,45.0
CD40261,مسطرة دوش زوجية كروم,بريميوم,27-079,150.0,100.0
MI10263,مراية تجميل مكبرة,سانيتاري ويرز,WL20,140.0,58.0
ML10265,خلاط حوض وجه كروم,GEROME,H8005,520.0,335.0
ML10266,خلاط حوض وجه كروم,INFINIT,H8001,550.0,360.0
MD20269,خلاط دوش مع سماعة كروم,أيولي,9410,450.0,280.0
ML10492,خلاط حوض وجه كروم,بنتاقونو,117/633,320.0,207.0
ARSB80493,قصبة دوش مربعة 30 سم كروم,بنتاقونو,SA03-30,45.0,26.25
RO10494,مسكر زاوية ''1/2 * ''1/2 كروم,بضائع أوروبية,SCHLOSSER 1709,40.0,26.15
ML10495,خلاط حوض وجه كروم,بنتاقونو,117/3002,400.0,289.0
ME10496,خلاط حوض المطبخ شجرة كروم,بنتاقونو,118/6705,270.0,284.0
CE10497,سخانة 80 لتر,IT SIMAT,80L,650.0,577.0
CE10498,سخانة 50 لتر,IT SIMAT,,620.0,557.0
P30499,مضخة 2.5,داب,K36/100,1750.0,1560.0
CE10500,سخانة 15 لتر,استرا,COMPACT 15,650.0,500.0
ML30501,مرايا حمام مع إضاءة لد اطارذهبي 55 سم,سانيتاري ويرز,,140.0,90.0
SI10506,سلكون 260 غرام أبيض,سلسيل,1292/18,13.0,7.0
SI10507,سلكون 260 غرام شفاف,سلسيل,,13.0,7.0
AASB30508,حاملة منظفات كروم,wilko,,40.0,20.0
AASB30509,حاملة منظفات أسود,wilko,,50.0,20.0
SA10510,طقم اكسسوار خزف خماسي بيج,سانيتاري ويرز,wilko,150.0,105.0
AASB30512,سلة قمامة,wilko,,70.0,35.0
AASB30516,حاملة فوط كروم,ساتين-نيكال,,60.0,40.0
PE30273,لصقة مع مجفف 500 مل,ابل,,24.0,15.5
ML10521,خلاط حوض وجه كروم,سانيتاري ويرز,OM-106,90.0,52.0
ALVM50526,رأس سيفوني كروم,سانيتاري ويرز,OM-14,30.0,14.0
AASB30528,مجفف شعر أسود,سانيتاري ويرز,,120.0,62.0
AASB30529,مجفف شعر أبيض,سانيتاري ويرز,,110.0,62.0
PS20530,علاقة مناشف زوجية كروم,سانيتاري ويرز,,130.0,80.0
ML30533,مرايا حمام مع إضاءة لد 60*80 سم,سانيتاري ويرز,22,150.0,74.0
ML30537,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,88,150.0,74.0
CD40539,مسطرة دوش زوجية كروم,سانيتاري ويرز,2024-25,180.0,90.0
ARSB80277,"مسكر شطافة ""1/2"" * ""1/2 كروم",VA,C147486,40.0,23.5
MA20281,خلاط حوض المطبخ سحاب كروم,ARB,KILC486LYC00,780.0,617.5
ME10282,خلاط حوض المطبخ شجرة كروم,ARB,KILC046LYC00,380.0,237.5
EL10544,حوض مطبخ ستانلس ستيل 304 86 * 45 سم,أسيل,AS3458,1020.0,675.0
ML30545,مرايا حمام قوس مع إضاءة لد 60*100 سم,سانيتاري ويرز,123120,180.0,100.0
CE10546,سخانة 80 لتر افقية,فرش,,650.0,700.0
PD20286,حاجز دوش 8 مم مضبب70 سم,ليسو,WIC-70D,550.0,340.0
PD20287,حاجز دوش 8 مم بالعلاقة المناشف 70 سم,ليسو,WIC-70E,580.0,365.0
ARSB80549,كسكاس دوش دائري شريحه 250 مم مع قصبة كروم,توريما,1372-BRACSOFF-002,360.0,240.0
